ID,Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,BPM,VORP
2101,Cole Anthony,47,34,27.1,4.7,11.7,0.397,1.2,3.7,0.337,3.4,8.1,0.424,0.449,2.3,2.8,0.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9,12.1,-3.3,-0.4
2102,OG Anunoby,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,15.4,1.2,1.2
2103,Ryan Arcidiacono,44,0,10.2,1.1,2.7,0.419,0.6,1.5,0.373,0.5,1.1,0.48,0.526,0.3,0.5,0.65,0.1,1.4,1.5,1.3,0.2,0,0.2,1.1,3.1,9.8,-2.3,0
2104,Trevor Ariza,30,27,28,3.3,8,0.411,1.7,4.8,0.35,1.6,3.3,0.5,0.515,1.1,1.5,0.773,0.9,3.9,4.8,1.8,1,0.6,0.7,1.8,9.4,11.9,-1.1,0.2
2105,D.J. Augustin,57,12,19.8,2.4,6,0.394,1.5,3.8,0.382,0.9,2.2,0.413,0.515,1.5,1.6,0.904,0.4,1.3,1.6,3.3,0.5,0,1.1,1,7.7,12.1,-2.1,0
2106,Deni Avdija,54,32,23.3,2.4,5.8,0.417,1,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,7.6,-3.1,-0.4
2107,Deandre Ayton,69,69,30.7,6.2,10,0.626,0.1,0.3,0.2,6.2,9.7,0.639,0.629,1.9,2.5,0.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4,20.3,1.2,1.7
2108,Udoka Azubuike,15,0,3.8,0.3,0.6,0.444,0,0,0,0.3,0.6,0.444,0.444,0.5,0.7,0.8,0.3,0.6,0.9,0,0.1,0.3,0.2,0.6,1.1,10.3,-3.8,0
2109,Dwayne Bacon,72,50,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.443,2,2.4,0.824,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9,9.9,-5.1,-1.5
2110,Marvin Bagley III,43,42,25.9,5.7,11.4,0.504,0.9,2.5,0.343,4.9,8.9,0.55,0.542,1.8,3.1,0.575,2.5,4.9,7.4,1,0.5,0.5,1.4,2.3,14.1,16.3,-3.1,-0.3
2111,LaMelo Ball,51,31,28.8,5.7,13.2,0.436,1.8,5.1,0.352,3.9,8.1,0.489,0.504,2.5,3.2,0.758,1.2,4.7,5.9,6.1,1.6,0.4,2.8,2.7,15.7,17.5,1.8,1.4
2112,Lonzo Ball,55,55,31.8,5.3,12.7,0.414,3.1,8.3,0.378,2.1,4.5,0.482,0.537,0.9,1.2,0.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6,15.2,1.7,1.6
2113,Mo Bamba,46,5,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4,0.568,0.535,1,1.4,0.682,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,8,19.3,0.1,0.4
2114,Desmond Bane,68,17,22.3,3.4,7.3,0.469,1.7,4,0.432,1.7,3.4,0.513,0.586,0.6,0.7,0.816,0.5,2.6,3.1,1.7,0.6,0.2,0.9,1.8,9.2,12.2,-0.8,0.5
2115,Harrison Barnes,58,58,36.2,5.5,11.1,0.497,1.7,4.4,0.391,3.8,6.7,0.567,0.575,3.4,4.1,0.83,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,16.1,15.4,0.2,1.1
2116,RJ Barrett,72,72,34.9,6.5,14.7,0.441,1.7,4.3,0.401,4.8,10.4,0.457,0.499,2.9,3.8,0.746,0.9,4.8,5.8,3,0.7,0.3,1.9,2.6,17.6,13.4,-1.2,0.5
2117,Will Barton,56,52,31,4.6,10.9,0.426,1.8,4.6,0.381,2.9,6.3,0.459,0.507,1.7,2.2,0.785,0.7,3.3,4,3.2,0.9,0.4,1.7,1.7,12.7,11.8,-1.9,0.1
2118,Keita Bates-Diop,30,0,8.2,1,2.2,0.448,0.2,0.6,0.294,0.8,1.7,0.5,0.485,0.5,0.7,0.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6,12,-1.9,0
2119,Nicolas Batum,67,38,27.4,2.9,6.1,0.464,1.6,4.1,0.404,1.2,2.1,0.579,0.597,0.7,0.9,0.828,0.7,4,4.7,2.2,1,0.6,0.8,1.5,8.1,12.9,2.1,1.9
2120,Aron Baynes,53,31,18.5,2.5,5.7,0.441,0.5,1.9,0.262,2,3.8,0.532,0.485,0.5,0.8,0.707,1.6,3.5,5.2,0.9,0.3,0.4,0.9,2.2,6.1,10.5,-4.5,-0.6
2121,Kent Bazemore,67,18,19.9,2.6,5.9,0.449,1.1,2.7,0.408,1.5,3.1,0.486,0.545,0.8,1.2,0.692,0.4,3,3.4,1.6,1,0.5,1.2,2.4,7.2,10.6,-1.2,0.2
2122,Darius Bazley,55,55,31.2,5,12.5,0.396,1.5,5.2,0.29,3.5,7.3,0.47,0.456,2.3,3.2,0.702,0.9,6.3,7.2,1.8,0.5,0.5,2.2,1.1,13.7,9.7,-4.4,-1
2123,Bradley Beal,60,60,35.8,11.2,23,0.485,2.2,6.2,0.349,9,16.8,0.535,0.532,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,22.7,3.4,2.9
2124,Malik Beasley,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,14.6,-0.2,0.6
2125,Jordan Bell,6,1,13.7,1.2,3.7,0.318,0,0.3,0,1.2,3.3,0.35,0.318,0.2,0.3,0.5,1.2,2.8,4,1.2,0.5,0.8,0.7,1.2,2.5,8,-5.8,-0.1
2126,DeAndre' Bembry,51,12,19.1,2.3,4.5,0.513,0.3,1,0.264,2,3.4,0.589,0.544,0.9,1.3,0.682,0.6,2.2,2.9,2.1,1,0.4,1.4,1.7,5.7,11.2,-1.9,0
2127,Dāvis Bertāns,57,7,25.7,3.4,8.4,0.404,3,7.5,0.395,0.4,0.9,0.48,0.581,1.8,2,0.87,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5,11.4,-0.8,0.4
2128,Patrick Beverley,37,34,22.5,2.5,5.9,0.423,1.5,3.8,0.397,1,2.1,0.468,0.55,1,1.2,0.8,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5,12,0.7,0.6
2129,Saddiq Bey,70,53,27.3,4,9.9,0.404,2.5,6.6,0.38,1.5,3.3,0.45,0.53,1.8,2.1,0.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2,12.6,-0.5,0.7
2130,Tyler Bey,18,0,3.9,0.4,1.2,0.318,0.1,0.2,0.25,0.3,1,0.333,0.341,0.2,0.3,0.6,0.4,0.6,1.1,0.2,0,0.1,0.2,0.3,1,5.9,-9.5,-0.1
2131,Khem Birch,67,22,22.8,2.8,5.7,0.497,0.2,0.8,0.25,2.6,4.9,0.537,0.514,1.4,1.9,0.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2,15.1,-1,0.4
2132,Goga Bitadze,45,3,12.5,1.8,4.3,0.428,0.4,1.8,0.253,1.4,2.6,0.548,0.479,1,1.4,0.738,1.3,2,3.3,0.8,0.2,1.3,0.4,2.1,5.1,16.3,-1,0.1
2133,Bismack Biyombo,66,36,20.4,2.2,3.7,0.587,0,0,0,2.2,3.7,0.589,0.587,0.7,1.6,0.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5,11.7,-3,-0.4
2134,Nemanja Bjelica,37,3,16.1,2.4,5.3,0.454,0.7,2.3,0.318,1.7,3,0.559,0.523,1,1.4,0.725,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,6.5,12.9,-2.2,0
2135,Eric Bledsoe,71,70,29.7,4.3,10.3,0.421,1.7,5,0.341,2.6,5.3,0.496,0.503,1.9,2.7,0.687,0.4,3,3.4,3.8,0.8,0.3,1.6,1.6,12.2,11.5,-2,0
2136,Keljin Blevins,17,0,4.4,0.3,1.2,0.25,0.1,0.5,0.25,0.2,0.7,0.25,0.3,0,0,0,0.2,0.4,0.6,0.2,0.1,0,0.3,0.5,0.7,-0.9,-10.7,-0.2
2137,Bogdan Bogdanović,44,27,29.7,6.1,12.8,0.473,3.3,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,17.6,3.6,1.8
2138,Bojan Bogdanović,72,72,30.8,5.6,12.8,0.439,2.5,6.4,0.39,3.1,6.4,0.487,0.536,3.2,3.7,0.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17,14,-0.4,0.9
2139,Bol Bol,32,2,5,0.8,1.8,0.431,0.3,0.8,0.375,0.5,1.1,0.471,0.509,0.3,0.5,0.667,0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,9.4,-4.1,-0.1
2140,Marques Bolden,6,0,4.8,0.2,0.5,0.333,0,0,0,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1,0,0.3,0.3,0.3,0,1.2,13.3,-3,0
2141,Jordan Bone,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0,0,0,0.3,1.4,1.7,1.3,0.1,0,0.2,0.8,4,8.9,-4.2,-0.1
2142,Isaac Bonga,40,8,10.8,0.8,2,0.37,0.3,1.2,0.277,0.4,0.9,0.5,0.451,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2,4,-5.8,-0.4
2143,Devin Booker,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,19.2,0.3,1.3
2144,Chris Boucher,60,14,24.2,4.8,9.3,0.514,1.5,3.9,0.383,3.3,5.4,0.609,0.595,2.5,3.2,0.788,2,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,21.9,3.3,2
2145,Brian Bowen,6,0,2.5,0.2,0.7,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.2,0.2,1,0,0.5,0.5,0,0,0,0,0.2,0.5,1,-11,0
2146,Avery Bradley,27,6,22.3,2.4,6.3,0.374,1.2,3.7,0.327,1.1,2.6,0.443,0.471,0.4,0.6,0.8,0.3,1.8,2.1,1.7,0.8,0.1,1,2,6.4,6.3,-5.4,-0.5
2147,Tony Bradley,42,8,16.3,3.1,4.7,0.665,0,0.1,0,3.1,4.6,0.675,0.665,0.9,1.3,0.691,2,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1,20.7,1.3,0.6
2148,Jarrell Brantley,28,0,4.9,0.9,1.9,0.481,0.4,1,0.429,0.5,0.9,0.542,0.596,0.1,0.1,1,0.3,0.6,1,0.5,0.3,0.1,0.3,0.6,2.3,16.6,2.2,0.1
2149,Ignas Brazdeikis,13,0,19.2,2.7,6.4,0.422,0.8,2.2,0.393,1.8,4.2,0.436,0.488,0.8,1.1,0.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7,9.5,-5.3,-0.2
2150,Mikal Bridges,72,72,32.6,5,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,16.4,3.3,3.1
2151,Miles Bridges,66,19,29.3,4.7,9.4,0.503,1.8,4.4,0.4,3,5,0.593,0.596,1.5,1.7,0.867,1.2,4.8,6,2.2,0.7,0.8,1.6,2.2,12.7,14.7,0.2,1.1
2152,Amida Brimah,5,0,5.8,1,1.6,0.625,0,0,0,1,1.6,0.625,0.625,0.6,0.6,1,0.4,1.2,1.6,0.2,0,1,0.8,0.8,2.6,16.6,-4.8,0
2153,Oshae Brissett,21,16,24.7,3.5,7.2,0.483,1.6,3.7,0.423,1.9,3.5,0.548,0.593,2.4,3.1,0.769,1.4,4.1,5.5,0.9,0.9,1,0.5,1.5,10.9,17.2,0.6,0.3
2154,Malcolm Brogdon,56,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,0.527,2.7,3.2,0.864,1,4.2,5.3,5.9,0.9,0.3,2.1,2,21.2,17.9,2.1,2
2155,Armoni Brooks,20,5,26,3.9,9.6,0.406,3,7.9,0.382,0.9,1.8,0.514,0.563,0.4,0.6,0.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2,10.4,-3.2,-0.2
2156,Dillon Brooks,67,67,29.8,6.4,15.4,0.419,1.9,5.6,0.344,4.5,9.8,0.461,0.481,2.4,2.9,0.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,17.2,12.1,-3.7,-0.9
2157,Bruce Brown,65,37,22.3,3.6,6.5,0.556,0.3,0.9,0.288,3.4,5.6,0.599,0.576,1.3,1.8,0.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,16.1,-0.1,0.7
2158,Charlie Brown Jr.,9,1,16.9,1.4,4.8,0.302,0.6,2.3,0.238,0.9,2.4,0.364,0.36,1,1.1,0.9,0.3,1.6,1.9,1,0.4,0.2,0.7,2.1,4.4,4.1,-8.7,-0.3
2159,Jaylen Brown,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6,3.4,1.2,0.6,2.7,2.9,24.7,19.9,2.5,2.3
2160,Moses Brown,43,32,21.4,3.4,6.2,0.545,0,0,0,3.4,6.2,0.545,0.545,1.8,2.9,0.619,3.6,5.3,8.9,0.2,0.7,1.1,1,2.2,8.6,18.8,-2.4,-0.1
2161,Sterling Brown,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,11.1,-1.6,0.1
2162,Troy Brown Jr.,34,0,15.4,1.8,4.2,0.431,0.6,2.1,0.314,1.2,2.2,0.541,0.507,0.4,0.6,0.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7,8.5,-4,-0.3
2163,Jalen Brunson,68,12,25,4.8,9.2,0.523,1.2,2.9,0.405,3.6,6.3,0.578,0.588,1.8,2.2,0.795,0.4,3,3.4,3.5,0.5,0,1.2,1.6,12.6,17.1,0.9,1.2
2164,Elijah Bryant,1,0,32,6,13,0.462,1,5,0.2,5,8,0.625,0.5,3,3,1,2,4,6,3,0,1,4,4,16,10.6,-7.3,0
2165,Thomas Bryant,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,18.7,0.9,0.2
2166,Reggie Bullock,65,64,30,3.8,8.6,0.442,2.5,6.1,0.41,1.3,2.5,0.521,0.587,0.8,0.8,0.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9,11.1,-0.1,0.9
2167,Trey Burke,62,1,14.7,2.4,5.7,0.428,0.9,2.6,0.354,1.5,3,0.492,0.51,0.8,0.9,0.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1,6.6,12.6,-1.8,0
2168,Alec Burks,49,5,25.6,4.3,10.2,0.42,2.1,5,0.415,2.2,5.2,0.425,0.522,2.1,2.4,0.856,0.4,4.2,4.6,2.2,0.6,0.3,1,2.1,12.7,14.8,1.5,1.1
2169,Jimmy Butler,52,52,33.6,7,14.2,0.497,0.5,2,0.245,6.6,12.2,0.538,0.514,6.9,8,0.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5,26.5,7.7,4.3
2170,Bruno Caboclo,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8,9,-10.2,-0.1
2171,Devontae Cacok,20,1,4.9,0.9,1.5,0.586,0,0,0,0.9,1.5,0.586,0.586,0.3,0.6,0.455,0.6,1,1.6,0.1,0.3,0.2,0.3,0.4,2,17.2,-1,0
2172,Kentavious Caldwell-Pope,67,67,28.4,3.3,7.6,0.431,1.8,4.4,0.41,1.5,3.2,0.46,0.549,1.4,1.7,0.866,0.4,2.3,2.7,1.9,0.9,0.4,1,1.7,9.7,10.7,-0.5,0.7
2173,Facundo Campazzo,65,19,21.9,1.8,4.8,0.381,1.2,3.3,0.352,0.7,1.5,0.444,0.502,1.2,1.4,0.879,0.3,1.7,2.1,3.6,1.2,0.2,1.1,2,6.1,11.6,-0.6,0.5
2174,Vlatko Čančar,41,1,6.9,0.8,1.8,0.458,0.2,0.8,0.273,0.6,1,0.615,0.521,0.2,0.3,0.769,0.3,1,1.2,0.3,0.3,0,0.3,0.4,2.1,9.7,-2.6,0
2175,Devin Cannady,8,0,9.3,1.4,3.5,0.393,0.8,2,0.375,0.6,1.5,0.417,0.5,0.8,0.9,0.857,0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,11.2,-3.1,0
2176,Clint Capela,63,63,30.1,6.6,11,0.594,0,0,0,6.6,11,0.594,0.594,2.1,3.6,0.573,4.7,9.6,14.3,0.8,0.7,2,1.2,2.3,15.2,24.3,2.7,2.2
2177,Vernon Carey Jr.,19,4,6.1,0.9,1.9,0.5,0.1,0.4,0.143,0.9,1.5,0.586,0.514,0.5,0.6,0.818,0.3,1.1,1.4,0.1,0.1,0.3,0.3,0.7,2.4,11.7,-6.1,-0.1
2178,Jevon Carter,60,1,12,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1,12.2,0.5,0.5
2179,Wendell Carter Jr.,54,44,25.5,4.3,8.5,0.503,0.3,0.9,0.294,4,7.5,0.53,0.52,2.4,3.3,0.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2,16.7,-1.3,0.2
2180,Michael Carter-Williams,31,25,25.8,3.4,8.7,0.389,0.5,2,0.246,2.9,6.7,0.431,0.417,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,9.5,-4.8,-0.6
2181,Alex Caruso,58,6,21,2.3,5.3,0.436,0.9,2.4,0.401,1.3,2.9,0.464,0.526,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4,11.1,0,0.6
2182,Willie Cauley-Stein,53,16,17.1,2.2,3.4,0.632,0,0.2,0.091,2.2,3.2,0.667,0.635,0.9,1.5,0.628,1.2,3.2,4.5,0.7,0.4,0.8,0.5,2.4,5.3,14.3,-1.3,0.2
2183,Chris Chiozza,22,1,10.5,1.4,4,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1,1.1,3,0.3,0.3,0.7,0.9,4,12.9,-0.7,0.1
2184,Marquese Chriss,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5,11.8,-2.1,0
2185,Gary Clark,39,11,16.8,1,3.4,0.303,0.8,2.8,0.287,0.2,0.6,0.375,0.42,0.2,0.3,0.8,0.8,2.1,2.9,0.8,0.3,0.2,0.4,0.9,3.1,6,-4.9,-0.5
2186,Brandon Clarke,59,16,24,4.3,8.4,0.517,0.3,1.3,0.26,4,7.1,0.565,0.537,1.3,1.9,0.69,1.6,3.9,5.6,1.6,1,0.9,0.6,1.4,10.3,17.3,1.5,1.3
2187,Jordan Clarkson,68,1,26.7,6.7,15.8,0.425,3.1,8.8,0.347,3.7,7,0.523,0.522,1.9,2.1,0.896,0.7,3.3,4,2.5,0.9,0.1,1.7,1.6,18.4,17.1,1.4,1.6
2188,Nic Claxton,32,1,18.6,2.8,4.5,0.621,0,0.2,0.2,2.8,4.4,0.636,0.624,1,2,0.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,16.9,0.4,0.4
2189,Amir Coffey,44,1,9,1,2.3,0.437,0.5,1.3,0.411,0.5,1.1,0.468,0.549,0.6,0.9,0.711,0.2,0.8,1,0.5,0.2,0,0.3,0.7,3.2,10.1,-2,0
2190,John Collins,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1,1.3,3.1,17.6,20.6,2.3,2
2191,Mike Conley,51,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.9,6,0.479,0.552,2.4,2.8,0.852,0.7,2.8,3.5,6,1.4,0.2,1.9,1.9,16.2,19.2,4.9,2.6
2192,Pat Connaughton,69,4,22.8,2.4,5.6,0.434,1.5,3.9,0.371,1,1.7,0.583,0.565,0.4,0.6,0.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8,11.3,0,0.8
2193,Quinn Cook,23,0,6.8,1.3,3,0.426,0.5,1.1,0.423,0.8,1.8,0.429,0.507,0.3,0.3,0.875,0.1,0.7,0.7,0.8,0.2,0,0.3,0.4,3.3,12.7,-1.2,0
2194,Tyler Cook,32,1,13.7,2.2,3.2,0.67,0,0.1,0.5,2.1,3.2,0.673,0.675,0.5,1.1,0.486,0.9,2.1,3,0.5,0.3,0.1,0.7,1.1,4.9,12.8,-3,-0.1
2195,DeMarcus Cousins,41,11,17.4,3.2,7.4,0.426,1.1,3.3,0.348,2,4.1,0.488,0.503,1.4,2,0.728,1.3,5.1,6.4,1.9,0.8,0.6,1.6,2.6,8.9,16.4,0.4,0.4
2196,Robert Covington,70,70,32,2.9,7.3,0.401,1.9,5.1,0.379,1,2.2,0.451,0.533,0.7,0.9,0.806,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.8,8.5,11.2,0.2,1.2
2197,Torrey Craig,50,8,16.1,2.2,4.5,0.48,0.8,2.1,0.368,1.4,2.4,0.579,0.566,0.3,0.4,0.773,1.1,2.8,3.9,1,0.6,0.5,0.5,1.7,5.5,14.2,0.4,0.5
2198,Jae Crowder,60,42,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.9,0.455,0.555,1,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1,11.8,1.1,1.3
2199,Jarrett Culver,34,7,14.7,2,4.9,0.411,0.4,1.6,0.245,1.6,3.4,0.487,0.449,0.9,1.4,0.604,1,2.1,3.1,0.7,0.5,0.3,0.8,1.7,5.3,8.8,-5.6,-0.5
2200,Seth Curry,57,57,28.7,4.5,9.7,0.467,2.2,4.9,0.45,2.3,4.8,0.485,0.582,1.2,1.4,0.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5,12.9,-0.3,0.7
2201,Stephen Curry,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,0.605,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,1.9,32,26.3,8.7,5.8
2202,Nate Darling,7,0,3.7,0.3,1,0.286,0.3,1,0.286,0,0,0,0.429,0.4,0.4,1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,1.3,8.2,-4,0
2203,Anthony Davis,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,22.1,4.8,2
2204,Ed Davis,23,7,13,0.8,1.9,0.432,0,0,0,0.8,1.9,0.432,0.432,0.4,0.5,0.833,2,3,5,0.9,0.6,0.6,0.3,2.4,2.1,13.1,-2.2,0
