,player,year,mp,fga,fg_perc,threepoint_att,threepoint_perc,twopoint_att,twopoint_perc,efg_perc,ft_perc,pts,class
2353,Khris Middleton,2020-21,33.4,15.8,0.476,5.4,0.414,10.4,0.508,0.546,0.898,20.4,elite
2358,Donovan Mitchell,2020-21,33.4,20.6,0.438,8.7,0.386,11.9,0.476,0.52,0.845,26.4,elite
2362,Ja Morant,2020-21,32.6,15.2,0.449,3.8,0.303,11.4,0.499,0.487,0.728,19.1,elite
2369,Jamal Murray,2020-21,35.5,16.5,0.477,6.6,0.408,9.9,0.523,0.559,0.869,21.2,elite
2394,Victor Oladipo,2020-21,32.7,17.5,0.408,7.2,0.326,10.2,0.466,0.476,0.754,19.8,elite
2422,Kristaps Porziņģis,2020-21,30.9,15.9,0.476,6.0,0.376,9.9,0.536,0.547,0.855,20.1,elite
2424,Norman Powell,2020-21,32.0,13.3,0.477,6.0,0.411,7.3,0.532,0.57,0.871,18.6,elite
2430,Julius Randle,2020-21,37.6,18.6,0.456,5.5,0.411,13.1,0.474,0.516,0.811,24.1,elite
2450,Terry Rozier,2020-21,34.5,16.4,0.45,8.3,0.389,8.2,0.512,0.548,0.817,20.4,elite
2453,Domantas Sabonis,2020-21,36.0,14.6,0.535,2.6,0.321,12.0,0.582,0.564,0.732,20.3,elite
2461,Collin Sexton,2020-21,35.3,18.4,0.475,4.4,0.371,14.0,0.508,0.519,0.815,24.3,elite
2463,Pascal Siakam,2020-21,35.8,17.2,0.455,4.4,0.297,12.8,0.509,0.493,0.827,21.4,elite
2480,Jayson Tatum,2020-21,35.8,20.6,0.459,7.6,0.386,13.0,0.502,0.53,0.868,26.4,elite
2498,Karl-Anthony Towns,2020-21,33.8,17.5,0.486,6.3,0.387,11.2,0.541,0.555,0.859,24.8,elite
2506,Fred VanVleet,2020-21,36.5,16.7,0.389,9.2,0.366,7.6,0.416,0.489,0.885,19.6,elite
2511,Nikola Vučević,2020-21,33.5,19.9,0.477,6.3,0.4,13.7,0.513,0.54,0.84,23.4,elite
2514,Kemba Walker,2020-21,31.8,15.7,0.42,8.2,0.36,7.5,0.486,0.514,0.899,19.3,elite
2516,John Wall,2020-21,32.2,18.2,0.404,6.2,0.317,11.9,0.449,0.458,0.749,20.6,elite
2524,Russell Westbrook,2020-21,36.4,19.0,0.439,4.2,0.315,14.8,0.475,0.474,0.656,22.2,elite
2529,Andrew Wiggins,2020-21,33.3,14.9,0.477,5.2,0.38,9.7,0.529,0.543,0.714,18.6,elite
2535,Zion Williamson,2020-21,33.2,17.0,0.611,0.6,0.294,16.4,0.622,0.616,0.698,27.0,elite
2541,Christian Wood,2020-21,32.3,15.6,0.514,5.0,0.374,10.6,0.581,0.574,0.631,21.0,elite
2545,Trae Young,2020-21,33.7,17.7,0.438,6.3,0.343,11.3,0.491,0.499,0.886,25.3,elite
14,Ryan Anderson,2016-17,29.4,10.7,0.418,7.0,0.403,3.7,0.446,0.55,0.86,13.6,great
18,Trevor Ariza,2016-17,34.7,10.0,0.409,6.9,0.344,3.0,0.556,0.528,0.738,11.7,great
26,J.J. Barea,2016-17,22.0,9.8,0.414,4.2,0.358,5.6,0.456,0.491,0.863,10.9,great
29,Will Barton,2016-17,28.4,11.1,0.443,3.9,0.37,7.2,0.483,0.508,0.753,13.7,great
31,Nicolas Batum,2016-17,34.0,12.7,0.403,5.3,0.333,7.4,0.453,0.472,0.856,15.1,great
34,Kent Bazemore,2016-17,26.9,9.9,0.409,3.6,0.346,6.2,0.446,0.473,0.708,11.0,great
38,Marco Belinelli,2016-17,24.0,8.3,0.429,3.8,0.36,4.5,0.488,0.512,0.893,10.5,great
44,Patrick Beverley,2016-17,30.7,8.1,0.42,4.3,0.382,3.8,0.463,0.521,0.768,9.5,great
49,Bojan Bogdanović,2016-17,25.7,10.4,0.445,4.8,0.367,5.6,0.512,0.53,0.893,13.7,great
56,Malcolm Brogdon,2016-17,26.4,8.5,0.457,2.6,0.404,5.9,0.48,0.518,0.865,10.2,great
68,Kentavious Caldwell-Pope,2016-17,33.3,12.2,0.399,5.8,0.35,6.5,0.442,0.481,0.832,13.8,great
77,Wilson Chandler,2016-17,30.9,13.2,0.461,4.6,0.337,8.6,0.527,0.52,0.727,15.7,great
82,Jordan Clarkson,2016-17,29.2,13.1,0.445,4.3,0.329,8.7,0.503,0.5,0.798,14.7,great
90,Robert Covington,2016-17,31.6,10.9,0.399,6.1,0.333,4.8,0.484,0.492,0.822,12.9,great
92,Jamal Crawford,2016-17,26.3,10.6,0.413,3.9,0.36,6.7,0.443,0.479,0.857,12.3,great
121,Wayne Ellington,2016-17,24.2,9.0,0.416,6.4,0.378,2.6,0.509,0.55,0.86,10.5,great
123,Joel Embiid,2016-17,25.4,13.8,0.466,3.2,0.367,10.7,0.495,0.508,0.783,20.2,great
133,Yogi Ferrell,2016-17,26.0,8.6,0.406,3.8,0.386,4.7,0.422,0.492,0.831,10.0,great
136,Evan Fournier,2016-17,32.9,13.7,0.439,5.3,0.356,8.4,0.491,0.508,0.805,17.2,great
141,Danilo Gallinari,2016-17,33.9,11.9,0.447,5.1,0.389,6.8,0.491,0.531,0.902,18.2,great
156,Aaron Gordon,2016-17,28.7,10.8,0.454,3.3,0.288,7.5,0.528,0.499,0.719,12.7,great
157,Eric Gordon,2016-17,31.0,13.5,0.406,8.8,0.372,4.7,0.468,0.527,0.84,16.2,great
163,Draymond Green,2016-17,32.5,8.6,0.418,3.5,0.308,5.1,0.494,0.481,0.709,10.2,great
191,Buddy Hield,2016-17,23.0,9.4,0.426,4.6,0.391,4.7,0.461,0.523,0.842,10.6,great
197,Jrue Holiday,2016-17,32.7,13.3,0.454,4.2,0.356,9.1,0.498,0.51,0.708,15.4,great
201,Rodney Hood,2016-17,27.0,11.3,0.408,5.2,0.371,6.1,0.44,0.494,0.783,12.7,great
209,Ersan İlyasova,2016-17,26.1,10.9,0.431,4.9,0.353,6.0,0.496,0.511,0.778,13.1,great
215,Reggie Jackson,2016-17,27.4,13.0,0.419,3.5,0.359,9.5,0.442,0.468,0.868,14.5,great
227,Tyler Johnson,2016-17,29.8,11.3,0.433,3.4,0.372,7.9,0.46,0.49,0.768,13.7,great
233,Terrence Jones,2016-17,23.5,9.1,0.47,1.4,0.253,7.7,0.508,0.489,0.606,10.8,great
237,Frank Kaminsky,2016-17,26.1,10.7,0.399,4.7,0.328,6.0,0.455,0.471,0.756,11.7,great
240,Sean Kilpatrick,2016-17,25.1,10.5,0.415,4.4,0.341,6.1,0.468,0.486,0.843,13.1,great
252,Courtney Lee,2016-17,31.9,9.1,0.456,3.5,0.401,5.6,0.49,0.533,0.867,10.8,great
261,Jeremy Lin,2016-17,24.5,11.1,0.438,4.3,0.372,6.8,0.48,0.51,0.816,14.5,great
267,Kevin Love,2016-17,31.4,14.5,0.427,6.5,0.373,8.0,0.471,0.51,0.871,19.0,great
278,Wesley Matthews,2016-17,34.2,11.6,0.393,6.6,0.363,5.0,0.432,0.496,0.816,13.5,great
295,Khris Middleton,2016-17,30.7,11.5,0.45,3.6,0.433,7.9,0.459,0.518,0.88,14.7,great
296,C.J. Miles,2016-17,23.4,8.5,0.434,5.4,0.413,3.1,0.471,0.565,0.903,10.7,great
