Rk,PER,BPM,VORP
2179,16.7,-1.3,0.2
2180,9.5,-4.8,-0.6
2181,11.1,0.0,0.6
2182,14.3,-1.3,0.2
2183,12.9,-0.7,0.1
2184,11.8,-2.1,0.0
2185,6.0,-4.9,-0.5
2186,17.3,1.5,1.3
2187,17.1,1.4,1.6
2188,16.9,0.4,0.4
2189,10.1,-2.0,0.0
2190,20.6,2.3,2.0
2191,19.2,4.9,2.6
2192,11.3,0.0,0.8
2193,12.7,-1.2,0.0
2194,12.8,-3.0,-0.1
2195,16.4,0.4,0.4
2196,11.2,0.2,1.2
2197,14.2,0.4,0.5
2198,11.8,1.1,1.3
2199,8.8,-5.6,-0.5
2200,12.9,-0.3,0.7
2201,26.3,8.7,5.8
2202,8.2,-4.0,0.0
2203,22.1,4.8,2.0
2204,13.1,-2.2,0.0
2205,12.7,-1.7,0.1
2206,16.1,-0.4,0.1
2207,24.5,1.7,0.2
2208,7.3,-6.4,-0.3
2209,22.0,3.1,2.6
2210,12.3,-2.4,0.0
2211,14.3,-2.1,0.0
2212,19.2,3.4,0.7
2213,10.1,0.2,0.0
2214,13.0,0.3,1.0
2215,25.3,6.8,5.1
2216,10.1,-3.5,-0.6
2217,8.1,-4.8,-0.6
2218,19.3,2.1,0.1
2219,6.9,-6.7,-1.0
2220,10.4,-2.6,-0.2
2221,13.0,-2.3,-0.1
2222,19.4,-1.2,0.3
2223,4.4,-3.5,0.0
2224,-5.7,-13.7,-0.1
2225,26.4,7.2,2.7
2226,13.9,-2.1,-0.1
2227,10.2,-4.5,-0.2
2228,9.4,-4.9,-0.1
2229,12.8,-1.8,0.0
2230,12.2,-0.2,0.5
2231,30.3,7.5,3.8
2232,12.5,-2.2,-0.1
2233,17.9,0.0,0.4
2234,5.9,-3.8,-0.1
2235,19.6,1.2,0.1
2236,19.7,2.6,1.2
2237,14.7,0.1,0.0
2238,-7.1,-14.3,-0.2
2239,6.2,-6.5,-0.3
2240,14.4,0.2,0.1
2241,12.0,0.1,1.0
2242,2.9,-9.1,0.0
2243,10.9,-2.6,-0.1
2244,12.8,-1.3,0.2
2245,11.2,-1.3,0.1
2246,16.7,1.1,1.0
2247,20.7,1.8,2.0
2248,16.5,-0.2,0.0
2249,-0.5,-11.9,-0.2
2250,22.4,0.6,1.2
2251,12.0,-4.4,-0.1
2252,9.8,-3.3,-0.1
2253,22.2,2.2,0.8
2254,16.3,1.1,1.0
2255,12.1,-0.9,0.1
2256,14.2,-2.1,-0.1
2257,12.2,2.3,1.1
2258,14.7,-0.1,0.6
2259,20.5,4.2,2.9
2260,16.0,1.3,0.8
2261,12.4,-2.9,-0.1
2262,21.6,4.1,1.8
2263,13.7,-1.3,0.0
2264,13.4,-3.2,-0.1
