,Player,Season,class,G,MP,PER,BPM,VORP
1406,Jusuf Nurkić,2018-19,1.0,72.0,27.4,23.4,3.7,2.8
1424,Chris Paul,2018-19,1.0,58.0,32.0,19.7,3.9,2.8
1459,D'Angelo Russell,2018-19,1.0,81.0,30.2,19.4,3.4,3.4
1474,Ben Simmons,2018-19,1.0,79.0,34.2,20.0,3.6,3.8
1522,Kemba Walker,2018-19,1.0,82.0,34.9,21.7,4.2,4.4
1531,Russell Westbrook,2018-19,1.0,73.0,36.0,21.1,5.2,4.7
1557,Bam Adebayo,2019-20,1.0,72.0,33.6,20.3,3.4,3.3
1590,Bradley Beal,2019-20,1.0,57.0,36.0,23.2,2.9,2.5
1610,Devin Booker,2019-20,1.0,70.0,35.9,20.6,2.2,2.6
1637,Jimmy Butler,2019-20,1.0,58.0,33.8,23.6,5.4,3.7
1663,John Collins,2019-20,1.0,41.0,33.2,23.5,3.1,1.7
1701,Joel Embiid,2019-20,1.0,51.0,29.5,25.8,4.7,2.5
1728,Paul George,2019-20,1.0,48.0,29.6,21.1,4.9,2.5
1732,Rudy Gobert,2019-20,1.0,68.0,34.3,21.7,3.6,3.3
1757,Montrezl Harrell,2019-20,1.0,63.0,27.8,23.2,2.9,2.2
1797,Kyrie Irving,2019-20,1.0,20.0,32.9,26.2,7.7,1.6
1858,Kyle Lowry,2019-20,1.0,58.0,36.2,17.7,3.2,2.8
1891,Khris Middleton,2019-20,1.0,62.0,29.9,21.1,4.1,2.9
1951,Chris Paul,2019-20,1.0,70.0,31.5,21.7,4.4,3.5
1991,Domantas Sabonis,2019-20,1.0,62.0,34.8,20.7,3.2,2.9
2006,Ben Simmons,2019-20,1.0,57.0,35.4,20.4,3.6,2.8
2019,Jayson Tatum,2019-20,1.0,66.0,34.3,20.4,4.0,3.4
2046,Nikola Vučević,2019-20,1.0,62.0,32.2,21.9,4.2,3.1
2050,Kemba Walker,2019-20,1.0,56.0,31.1,20.0,4.6,2.9
2064,Hassan Whiteside,2019-20,1.0,67.0,30.0,25.0,3.2,2.6
2080,Trae Young,2019-20,1.0,60.0,35.3,23.9,3.9,3.1
2088,Bam Adebayo,2020-21,1.0,64.0,33.5,22.7,4.9,3.7
2122,Bradley Beal,2020-21,1.0,60.0,35.8,22.7,3.4,2.9
2175,Clint Capela,2020-21,1.0,63.0,30.1,24.3,2.7,2.2
2190,Mike Conley,2020-21,1.0,51.0,29.4,19.2,4.9,2.6
2202,Anthony Davis,2020-21,1.0,36.0,32.3,22.1,4.8,2.0
2208,DeMar DeRozan,2020-21,1.0,61.0,33.7,22.0,3.1,2.6
2224,Kevin Durant,2020-21,1.0,35.0,33.1,26.4,7.2,2.7
2258,Paul George,2020-21,1.0,54.0,33.7,20.5,4.2,2.9
2261,Shai Gilgeous-Alexander,2020-21,1.0,35.0,33.7,21.6,4.1,1.8
2264,Rudy Gobert,2020-21,1.0,71.0,30.8,23.5,4.9,3.8
2292,Tobias Harris,2020-21,1.0,62.0,32.5,20.0,3.7,2.9
2309,Jrue Holiday,2020-21,1.0,59.0,32.3,20.0,3.4,2.6
2328,Kyrie Irving,2020-21,1.0,54.0,34.9,24.4,5.5,3.6
2370,Zach LaVine,2020-21,1.0,58.0,35.1,21.5,4.0,3.1
2412,CJ McCollum,2020-21,1.0,47.0,34.0,20.8,3.9,2.4
2432,Donovan Mitchell,2020-21,1.0,53.0,33.4,21.3,4.3,2.8
2480,Chris Paul,2020-21,1.0,70.0,31.4,21.4,4.6,3.6
2494,Michael Porter Jr.,2020-21,1.0,61.0,31.3,20.6,3.1,2.5
2505,Julius Randle,2020-21,1.0,71.0,37.6,19.7,3.8,3.9
2528,Domantas Sabonis,2020-21,1.0,62.0,36.0,20.6,3.8,3.3
2557,Jayson Tatum,2020-21,1.0,64.0,35.8,21.3,3.9,3.4
2575,Karl-Anthony Towns,2020-21,1.0,50.0,33.8,23.1,4.5,2.8
2580,Jonas Valančiūnas,2020-21,1.0,62.0,28.3,24.4,3.0,2.2
2588,Nikola Vučević,2020-21,1.0,70.0,33.5,22.9,5.3,4.4
2601,Russell Westbrook,2020-21,1.0,65.0,36.4,19.5,3.7,3.4
2611,Robert Williams,2020-21,1.0,52.0,18.9,25.7,6.0,2.0
2622,Trae Young,2020-21,1.0,63.0,33.7,23.0,3.7,3.0
