,Player,Season,class,G,MP,PER,BPM,VORP
843,Shabazz Muhammad,2017-18,1.0,43.0,9.7,15.4,-2.5,-0.1
852,Raul Neto,2017-18,1.0,41.0,12.1,11.9,-1.4,0.1
854,Joakim Noah,2017-18,1.0,7.0,5.7,15.6,-0.8,0.0
855,Nerlens Noel,2017-18,1.0,30.0,15.7,16.2,0.5,0.3
856,Lucas Nogueira,2017-18,1.0,49.0,8.5,17.3,5.2,0.8
865,Emeka Okafor,2017-18,1.0,26.0,13.6,16.4,-1.2,0.1
866,Jahlil Okafor,2017-18,1.0,28.0,12.6,15.3,-1.7,0.0
875,Jabari Parker,2017-18,1.0,31.0,24.0,17.1,-0.8,0.2
877,Chandler Parsons,2017-18,1.0,36.0,19.2,13.6,0.8,0.5
883,Cameron Payne,2017-18,1.0,25.0,23.3,14.0,-0.4,0.2
905,Ivan Rabb,2017-18,1.0,36.0,14.3,16.6,-2.0,0.0
911,Willie Reed,2017-18,1.0,42.0,10.2,19.2,0.8,0.3
917,Glenn Robinson III,2017-18,1.0,23.0,14.7,10.8,-0.7,0.1
925,JaKarr Sampson,2017-18,1.0,22.0,15.6,13.9,-1.2,0.1
930,Thabo Sefolosha,2017-18,1.0,38.0,21.2,15.8,2.7,0.9
931,Wayne Selden,2017-18,1.0,35.0,19.8,11.8,-3.1,-0.2
947,Marreese Speights,2017-18,1.0,52.0,13.0,13.7,-1.1,0.1
958,Mirza Teletović,2017-18,1.0,10.0,15.9,13.5,0.4,0.1
962,Daniel Theis,2017-18,1.0,63.0,14.9,16.1,0.3,0.5
986,Derrick Walton,2017-18,1.0,16.0,9.2,11.2,1.3,0.1
991,Briante Weber,2017-18,1.0,18.0,13.2,10.1,-1.3,0.0
995,Derrick White,2017-18,1.0,17.0,8.2,15.9,2.3,0.2
1008,Troy Williams,2017-18,1.0,21.0,14.6,15.1,-0.5,0.1
1010,Jamil Wilson,2017-18,1.0,15.0,18.3,11.4,0.2,0.2
1014,Brandan Wright,2017-18,1.0,28.0,13.6,19.0,2.1,0.4
1016,Guerschon Yabusele,2017-18,1.0,33.0,7.1,12.3,-1.2,0.0
1021,Cody Zeller,2017-18,1.0,33.0,19.0,15.9,-1.2,0.1
1024,Ante Žižić,2017-18,1.0,32.0,6.7,24.2,1.0,0.2
1025,Ivica Zubac,2017-18,1.0,43.0,9.5,15.3,-2.0,0.0
1037,Kadeem Allen,2018-19,1.0,19.0,21.9,16.2,0.5,0.3
1039,Justin Anderson,2018-19,1.0,48.0,9.6,11.2,-2.7,-0.1
1056,Mo Bamba,2018-19,1.0,47.0,16.3,14.9,-1.4,0.1
1057,J.J. Barea,2018-19,1.0,38.0,19.8,16.3,-0.6,0.3
1063,Aron Baynes,2018-19,1.0,51.0,16.1,14.0,-1.5,0.1
1067,Michael Beasley,2018-19,1.0,26.0,10.7,15.9,-1.5,0.0
1075,Khem Birch,2018-19,1.0,50.0,12.9,19.2,1.2,0.5
1083,Andrew Bogut,2018-19,1.0,11.0,12.2,13.4,-2.9,0.0
1084,Jonah Bolden,2018-19,1.0,44.0,14.5,12.7,-0.7,0.2
1087,Chris Boucher,2018-19,1.0,28.0,5.8,22.2,2.6,0.2
1090,Corey Brewer,2018-19,1.0,31.0,15.9,11.6,-1.3,0.1
1094,Ryan Broekhoff,2018-19,1.0,42.0,10.8,10.7,-1.0,0.1
1097,MarShon Brooks,2018-19,1.0,29.0,13.3,11.6,-3.0,-0.1
1110,Bruno Caboclo,2018-19,1.0,34.0,23.5,12.4,-1.1,0.2
1119,Michael Carter-Williams,2018-19,1.0,28.0,13.3,14.7,0.8,0.3
1120,Alex Caruso,2018-19,1.0,25.0,21.2,13.9,-0.2,0.2
1121,Omri Casspi,2018-19,1.0,36.0,14.4,15.7,0.4,0.3
1152,Deyonta Davis,2018-19,1.0,9.0,13.1,15.6,-2.0,0.0
1156,Sam Dekker,2018-19,1.0,47.0,16.8,13.3,-1.8,0.1
1159,Luol Deng,2018-19,1.0,22.0,17.8,14.6,0.0,0.2
1161,Marcus Derrickson,2018-19,1.0,11.0,6.1,19.4,-2.7,0.0
1178,Henry Ellenson,2018-19,1.0,19.0,13.6,13.1,-1.5,0.0
1182,Drew Eubanks,2018-19,1.0,23.0,4.9,15.1,-1.3,0.0
1186,Dante Exum,2018-19,1.0,42.0,15.8,11.2,-2.1,0.0
1187,Kenneth Faried,2018-19,1.0,37.0,19.7,21.6,-0.2,0.3
1190,Raymond Felton,2018-19,1.0,33.0,11.5,11.2,-1.3,0.1
1207,Pau Gasol,2018-19,1.0,30.0,12.0,16.7,3.1,0.5
1217,Marcin Gortat,2018-19,1.0,47.0,16.0,12.8,-1.3,0.1
1245,John Henson,2018-19,1.0,14.0,13.4,17.1,2.5,0.2
1247,Willy Hernangómez,2018-19,1.0,58.0,14.0,20.4,-0.1,0.4
1252,Nenê,2018-19,1.0,42.0,13.0,11.9,-2.2,0.0
1255,Aaron Holiday,2018-19,1.0,50.0,12.9,11.9,-1.6,0.1
1264,Dwight Howard,2018-19,1.0,9.0,25.6,17.4,-3.0,-0.1
1285,Amile Jefferson,2018-19,1.0,12.0,5.7,21.1,2.5,0.1
1289,Amir Johnson,2018-19,1.0,51.0,10.4,13.1,-2.3,0.0
1296,Damian Jones,2018-19,1.0,24.0,17.1,15.3,1.1,0.3
1304,Frank Kaminsky,2018-19,1.0,47.0,16.1,16.8,0.3,0.4
1311,Furkan Korkmaz,2018-19,1.0,48.0,14.1,11.5,-1.8,0.0
1312,Luke Kornet,2018-19,1.0,46.0,17.0,14.8,2.1,0.8
1314,Kosta Koufos,2018-19,1.0,42.0,12.0,12.3,-3.4,-0.2
1317,Skal Labissière,2018-19,1.0,22.0,8.0,12.6,-3.0,0.0
1321,T.J. Leaf,2018-19,1.0,58.0,9.0,16.9,-0.3,0.2
1322,Courtney Lee,2018-19,1.0,34.0,12.6,10.3,-2.5,-0.1
1323,Damion Lee,2018-19,1.0,32.0,11.7,11.9,-2.2,0.0
1328,Jon Leuer,2018-19,1.0,41.0,9.8,13.2,-2.5,0.0
1337,Kevin Love,2018-19,1.0,22.0,27.2,19.5,1.6,0.6
1339,Jordan Loyd,2018-19,1.0,12.0,4.6,16.3,-1.0,0.0
1348,Ian Mahinmi,2018-19,1.0,34.0,14.6,12.0,-3.0,-0.1
1353,Frank Mason III,2018-19,1.0,38.0,11.4,12.4,-3.1,-0.1
1366,Jordan McRae,2018-19,1.0,27.0,12.3,14.3,-1.7,0.0
1367,Jodie Meeks,2018-19,1.0,8.0,13.0,16.0,0.5,0.1
1368,Salah Mejri,2018-19,1.0,36.0,11.1,16.1,0.8,0.3
1374,Malcolm Miller,2018-19,1.0,10.0,6.7,13.7,-0.5,0.0
1382,Greg Monroe,2018-19,1.0,43.0,11.2,16.0,-3.2,-0.1
1390,Johnathan Motley,2018-19,1.0,22.0,7.1,18.9,-1.9,0.0
1399,Raul Neto,2018-19,1.0,37.0,12.8,13.5,-0.3,0.2
1400,Georges Niang,2018-19,1.0,59.0,8.7,13.0,0.0,0.3
1401,Joakim Noah,2018-19,1.0,42.0,16.5,18.6,2.1,0.7
1409,Kyle O'Quinn,2018-19,1.0,45.0,8.2,16.8,0.4,0.2
1411,Jahlil Okafor,2018-19,1.0,59.0,15.8,17.9,-1.5,0.1
1430,Miles Plumlee,2018-19,1.0,18.0,9.6,18.9,1.6,0.2
1432,Quincy Pondexter,2018-19,1.0,53.0,5.5,13.2,-0.9,0.1
1440,Ivan Rabb,2018-19,1.0,49.0,14.7,16.1,-1.4,0.1
1449,Devin Robinson,2018-19,1.0,7.0,13.6,20.6,1.9,0.1
