,Player,Season,class,G,MP,PER,BPM,VORP
675,JaMychal Green,2017-18,0.0,55.0,28.0,14.0,-2.3,-0.1
676,Jeff Green,2017-18,0.0,78.0,23.4,14.8,-1.8,0.1
683,Devin Harris,2017-18,0.0,71.0,18.9,13.0,-1.8,0.1
688,Andrew Harrison,2017-18,0.0,56.0,23.7,12.7,-1.5,0.2
690,Josh Hart,2017-18,0.0,63.0,23.2,12.2,-0.1,0.7
699,Mario Hezonja,2017-18,0.0,75.0,22.1,13.7,-0.5,0.6
707,Justin Holiday,2017-18,0.0,72.0,31.5,10.8,-1.9,0.0
720,Andre Iguodala,2017-18,0.0,64.0,25.3,11.2,-0.3,0.7
739,Jonas Jerebko,2017-18,0.0,74.0,15.3,13.2,0.1,0.6
748,Wesley Johnson,2017-18,0.0,74.0,20.1,9.8,-0.7,0.5
755,Cory Joseph,2017-18,0.0,82.0,27.0,11.0,-1.5,0.3
757,Luke Kennard,2017-18,0.0,73.0,20.0,12.1,-0.8,0.5
758,Michael Kidd-Gilchrist,2017-18,0.0,74.0,25.0,12.5,-2.1,-0.1
760,Maxi Kleber,2017-18,0.0,72.0,16.8,13.4,-0.5,0.5
767,Skal Labissière,2017-18,0.0,60.0,20.7,14.3,-2.7,-0.2
769,Shane Larkin,2017-18,0.0,54.0,14.4,10.3,-1.7,0.1
786,Kevon Looney,2017-18,0.0,66.0,13.8,14.8,-0.2,0.4
788,Robin Lopez,2017-18,0.0,64.0,26.4,14.7,-2.2,-0.1
794,Shelvin Mack,2017-18,0.0,69.0,19.8,13.3,-1.4,0.2
801,Frank Mason III,2017-18,0.0,52.0,18.9,13.0,-2.3,-0.1
804,Luc Mbah a Moute,2017-18,0.0,61.0,25.6,10.3,-0.2,0.7
811,Doug McDermott,2017-18,0.0,81.0,21.8,10.4,-2.2,-0.1
818,Jodie Meeks,2017-18,0.0,77.0,14.5,12.4,-1.1,0.3
822,C.J. Miles,2017-18,0.0,70.0,19.1,13.0,0.3,0.8
823,Darius Miller,2017-18,0.0,82.0,23.7,9.3,-1.9,0.1
825,Patty Mills,2017-18,0.0,82.0,25.7,11.8,-1.0,0.5
834,E'Twaun Moore,2017-18,0.0,82.0,31.5,12.1,-1.6,0.3
835,Eric Moreland,2017-18,0.0,67.0,12.0,13.9,0.5,0.5
838,Markieff Morris,2017-18,0.0,73.0,27.0,13.2,-1.3,0.4
860,David Nwaba,2017-18,0.0,70.0,23.5,12.2,-2.5,-0.2
862,Royce O'Neale,2017-18,0.0,69.0,16.7,10.8,-0.2,0.5
871,Kelly Oubre Jr.,2017-18,0.0,81.0,27.5,11.9,-1.7,0.2
872,Zaza Pachulia,2017-18,0.0,69.0,14.1,17.0,0.0,0.5
878,Patrick Patterson,2017-18,0.0,82.0,15.5,10.0,-0.2,0.6
915,Andre Roberson,2017-18,0.0,39.0,26.6,10.9,-0.1,0.5
923,D'Angelo Russell,2017-18,0.0,48.0,25.7,15.2,-1.2,0.3
929,Mike Scott,2017-18,0.0,76.0,18.5,13.6,-1.7,0.1
940,Marcus Smart,2017-18,0.0,54.0,29.9,10.8,-1.2,0.3
941,Dennis Smith Jr.,2017-18,0.0,69.0,29.7,12.8,-2.4,-0.2
949,Lance Stephenson,2017-18,0.0,82.0,22.6,12.4,-1.8,0.1
960,Miloš Teodosić,2017-18,0.0,45.0,25.2,11.6,-1.7,0.1
970,P.J. Tucker,2017-18,0.0,82.0,27.8,8.3,-1.1,0.5
976,Denzel Valentine,2017-18,0.0,77.0,27.2,12.1,-1.0,0.5
979,Noah Vonleh,2017-18,0.0,54.0,16.2,12.8,-1.3,0.2
981,Dwyane Wade,2017-18,0.0,67.0,22.9,15.0,-1.0,0.4
999,Andrew Wiggins,2017-18,0.0,82.0,36.3,13.0,-2.4,-0.3
1011,Justise Winslow,2017-18,0.0,68.0,24.7,11.5,-1.1,0.4
1022,Tyler Zeller,2017-18,0.0,66.0,16.8,16.0,-1.4,0.2
1047,Ryan Arcidiacono,2018-19,0.0,81.0,24.2,11.6,-1.9,0.1
1059,Will Barton,2018-19,0.0,43.0,27.7,11.0,-1.8,0.0
1064,Kent Bazemore,2018-19,0.0,67.0,24.5,11.9,-2.3,-0.1
1068,Marco Belinelli,2018-19,0.0,79.0,23.0,11.9,-1.7,0.1
1069,Jordan Bell,2018-19,0.0,68.0,11.6,12.9,-0.9,0.2
1070,DeAndre' Bembry,2018-19,0.0,82.0,23.5,10.8,-2.4,-0.2
1076,Bismack Biyombo,2018-19,0.0,54.0,14.5,14.4,-2.5,-0.1
1091,Mikal Bridges,2018-19,0.0,82.0,29.5,10.8,-1.6,0.3
1092,Miles Bridges,2018-19,0.0,80.0,21.2,13.1,-0.8,0.5
1099,Jaylen Brown,2018-19,0.0,74.0,25.9,13.5,-2.1,0.0
1101,Sterling Brown,2018-19,0.0,58.0,17.8,10.9,-1.5,0.1
1103,Jalen Brunson,2018-19,0.0,73.0,21.8,12.8,-1.7,0.1
1105,Reggie Bullock,2018-19,0.0,63.0,29.8,10.5,-1.1,0.4
1107,Alec Burks,2018-19,0.0,64.0,21.5,12.7,-1.2,0.3
1115,DeMarre Carroll,2018-19,0.0,67.0,25.4,12.1,-1.5,0.2
1117,Vince Carter,2018-19,0.0,76.0,17.5,11.8,-0.7,0.5
1118,Wendell Carter Jr.,2018-19,0.0,44.0,25.2,15.2,-1.6,0.1
1125,Tyson Chandler,2018-19,0.0,55.0,15.9,11.2,-2.1,0.0
1130,Gary Clark,2018-19,0.0,51.0,12.6,9.2,-0.7,0.2
1134,Zach Collins,2018-19,0.0,77.0,17.6,13.5,-1.2,0.3
1139,Quinn Cook,2018-19,0.0,74.0,14.3,13.1,-2.1,0.0
1143,Torrey Craig,2018-19,0.0,75.0,20.0,10.4,-1.9,0.0
1147,Dante Cunningham,2018-19,0.0,64.0,14.5,10.2,-0.6,0.3
1148,Seth Curry,2018-19,0.0,74.0,18.9,11.4,-1.0,0.3
1162,Cheick Diallo,2018-19,0.0,64.0,14.0,17.5,-0.9,0.2
1171,Goran Dragić,2018-19,0.0,36.0,27.5,13.9,-1.1,0.2
1174,Kris Dunn,2018-19,0.0,46.0,30.2,12.4,-2.7,-0.2
1179,Wayne Ellington,2018-19,0.0,53.0,24.5,11.8,0.0,0.7
1181,James Ennis III,2018-19,0.0,58.0,21.2,11.0,-1.5,0.1
1192,Yogi Ferrell,2018-19,0.0,71.0,15.0,12.7,-1.4,0.2
1193,Dorian Finney-Smith,2018-19,0.0,81.0,24.5,11.0,-1.4,0.3
1194,Bryn Forbes,2018-19,0.0,82.0,28.0,12.0,-1.2,0.5
1195,Evan Fournier,2018-19,0.0,81.0,31.5,12.3,-2.4,-0.3
1198,Tim Frazier,2018-19,0.0,59.0,19.0,11.7,-1.8,0.1
1204,Langston Galloway,2018-19,0.0,80.0,21.8,10.7,-1.5,0.2
1216,Eric Gordon,2018-19,0.0,68.0,31.7,12.2,-1.3,0.4
1221,Jerian Grant,2018-19,0.0,60.0,15.7,10.8,-1.6,0.1
1225,Gerald Green,2018-19,0.0,73.0,20.2,11.4,-1.7,0.1
1226,JaMychal Green,2018-19,0.0,65.0,21.1,14.7,-1.7,0.1
1227,Jeff Green,2018-19,0.0,77.0,27.2,13.6,-1.4,0.3
1231,Tim Hardaway Jr.,2018-19,0.0,65.0,31.6,13.6,-2.0,0.0
1236,Gary Harris,2018-19,0.0,57.0,28.8,12.2,-1.6,0.2
1240,Shaquille Harrison,2018-19,0.0,73.0,19.6,12.4,-1.3,0.2
1241,Josh Hart,2018-19,0.0,67.0,25.6,9.3,-1.3,0.3
1246,Juancho Hernangómez,2018-19,0.0,70.0,19.4,11.0,-1.1,0.3
1253,George Hill,2018-19,0.0,60.0,21.7,12.1,-1.4,0.2
1257,Justin Holiday,2018-19,0.0,82.0,31.8,10.0,-1.8,0.1
1261,Rodney Hood,2018-19,0.0,72.0,26.3,12.3,-2.0,0.0
1263,Danuel House Jr.,2018-19,0.0,39.0,25.1,12.2,-0.5,0.4
1271,Ersan İlyasova,2018-19,0.0,67.0,18.4,11.6,-2.3,-0.1
1274,Brandon Ingram,2018-19,0.0,52.0,33.8,13.4,-2.0,0.0
1282,Justin Jackson,2018-19,0.0,81.0,19.9,11.3,-1.6,0.2
1287,Jonas Jerebko,2018-19,0.0,73.0,16.7,13.5,-0.7,0.4
1291,James Johnson,2018-19,0.0,55.0,21.2,10.9,-1.2,0.2
1293,Tyler Johnson,2018-19,0.0,57.0,26.8,12.4,-0.4,0.6
1297,Derrick Jones Jr.,2018-19,0.0,60.0,19.2,14.0,-0.5,0.4
1301,Tyus Jones,2018-19,0.0,68.0,22.9,13.7,-0.6,0.6
1303,Cory Joseph,2018-19,0.0,82.0,25.2,11.0,-0.4,0.9
1305,Luke Kennard,2018-19,0.0,63.0,22.8,11.9,-1.1,0.3
1306,Michael Kidd-Gilchrist,2018-19,0.0,64.0,18.4,13.3,-2.4,-0.1
1313,Kyle Korver,2018-19,0.0,70.0,19.1,11.2,-0.5,0.5
1320,Jake Layman,2018-19,0.0,71.0,18.7,13.5,-0.5,0.5
1331,Jeremy Lin,2018-19,0.0,74.0,19.4,13.5,-2.2,-0.1
1332,Shaun Livingston,2018-19,0.0,64.0,15.1,11.7,-1.0,0.2
1336,Robin Lopez,2018-19,0.0,74.0,21.7,15.9,-1.9,0.0
1343,Trey Lyles,2018-19,0.0,64.0,17.5,12.7,-2.4,-0.1
1349,Thon Maker,2018-19,0.0,64.0,15.2,11.3,-1.2,0.2
1355,Wesley Matthews,2018-19,0.0,69.0,30.3,10.3,-1.8,0.1
1360,T.J. McConnell,2018-19,0.0,76.0,19.3,13.4,-0.9,0.4
1361,Doug McDermott,2018-19,0.0,77.0,17.4,11.6,-1.4,0.2
1383,E'Twaun Moore,2018-19,0.0,53.0,27.6,11.5,-2.3,-0.1
1391,Emmanuel Mudiay,2018-19,0.0,59.0,27.2,14.6,-2.0,0.0
1394,Mike Muscala,2018-19,0.0,64.0,20.4,10.8,-1.1,0.3
1407,David Nwaba,2018-19,0.0,51.0,19.3,12.5,-2.1,0.0
1408,Royce O'Neale,2018-19,0.0,82.0,20.4,9.0,-0.5,0.6
1418,Zaza Pachulia,2018-19,0.0,68.0,12.9,13.7,-1.2,0.2
1419,Jabari Parker,2018-19,0.0,64.0,26.9,15.5,-1.5,0.2
1420,Tony Parker,2018-19,0.0,56.0,17.9,15.3,-2.6,-0.1
1426,Elfrid Payton,2018-19,0.0,42.0,29.8,14.0,-1.4,0.2
1434,Bobby Portis,2018-19,0.0,50.0,26.0,16.1,-2.4,-0.1
1436,Norman Powell,2018-19,0.0,60.0,18.8,13.3,-0.7,0.4
1438,Taurean Prince,2018-19,0.0,55.0,28.2,11.9,-2.0,0.0
1454,Rajon Rondo,2018-19,0.0,46.0,29.8,12.1,-1.5,0.2
1463,Dario Šarić,2018-19,0.0,81.0,25.0,13.1,-1.6,0.2
1465,Dennis Schröder,2018-19,0.0,79.0,29.3,12.7,-2.0,0.0
1470,Landry Shamet,2018-19,0.0,79.0,22.8,11.0,-1.6,0.2
1471,Iman Shumpert,2018-19,0.0,62.0,23.9,9.1,-1.9,0.0
1479,Dennis Smith Jr.,2018-19,0.0,53.0,28.5,12.3,-1.9,0.0
1480,Ish Smith,2018-19,0.0,56.0,22.3,11.8,-2.0,0.0
1484,Tony Snell,2018-19,0.0,74.0,17.6,10.7,-0.7,0.4
1487,Nik Stauskas,2018-19,0.0,68.0,14.9,10.9,-1.9,0.0
1489,Lance Stephenson,2018-19,0.0,68.0,16.5,11.8,-1.5,0.1
1510,Evan Turner,2018-19,0.0,73.0,22.0,11.6,-1.3,0.3
1521,Dion Waiters,2018-19,0.0,44.0,25.9,11.4,-1.1,0.3
1554,Ante Žižić,2018-19,0.0,59.0,18.3,16.2,-3.2,-0.3
1574,Trevor Ariza,2019-20,0.0,53.0,28.2,11.0,-0.5,0.6
1575,D.J. Augustin,2019-20,0.0,57.0,24.9,14.0,-1.6,0.2
1589,Darius Bazley,2019-20,0.0,61.0,18.5,9.6,-1.6,0.1
1591,Malik Beasley,2019-20,0.0,55.0,22.0,12.7,-2.1,0.0
