,Player,Season,class,G,MP,PER,BPM,VORP
1592,Marco Belinelli,2019-20,1.0,57.0,15.5,10.8,-2.7,-0.2
1594,DeAndre' Bembry,2019-20,1.0,43.0,21.3,9.6,-2.5,-0.1
1598,Khem Birch,2019-20,1.0,48.0,19.2,11.7,-2.4,-0.1
1609,Isaac Bonga,2019-20,1.0,66.0,18.9,10.2,-2.8,-0.3
1613,Ky Bowman,2019-20,1.0,45.0,22.6,9.1,-4.3,-0.6
1614,Avery Bradley,2019-20,1.0,49.0,24.2,8.9,-2.5,-0.2
1624,Dillon Brooks,2019-20,1.0,73.0,28.9,11.3,-4.1,-1.1
1629,Sterling Brown,2019-20,1.0,52.0,14.8,9.5,-2.0,0.0
1645,Vince Carter,2019-20,1.0,60.0,14.6,7.5,-4.3,-0.5
1671,Torrey Craig,2019-20,1.0,58.0,18.5,10.8,-2.3,-0.1
1674,Jarrett Culver,2019-20,1.0,63.0,23.9,9.6,-4.0,-0.8
1682,Matthew Dellavedova,2019-20,1.0,57.0,14.4,8.1,-5.2,-0.7
1685,Hamidou Diallo,2019-20,1.0,46.0,19.5,9.3,-3.9,-0.4
1702,James Ennis III,2019-20,1.0,69.0,18.3,11.5,-2.6,-0.2
1709,Terrance Ferguson,2019-20,1.0,56.0,22.4,3.7,-4.5,-0.8
1710,Bruno Fernando,2019-20,1.0,56.0,12.7,11.9,-4.1,-0.4
1713,Bryn Forbes,2019-20,1.0,63.0,25.1,11.1,-2.7,-0.3
1725,Darius Garland,2019-20,1.0,59.0,30.9,8.5,-5.5,-1.7
1735,Eric Gordon,2019-20,1.0,36.0,28.2,10.3,-3.9,-0.5
1737,Treveon Graham,2019-20,1.0,55.0,16.9,6.6,-5.6,-0.8
1749,Rui Hachimura,2019-20,1.0,48.0,30.1,13.5,-3.2,-0.4
1758,Gary Harris,2019-20,1.0,56.0,31.8,9.7,-2.5,-0.2
1769,Juancho Hernangómez,2019-20,1.0,48.0,17.4,10.4,-3.4,-0.3
1773,Mario Hezonja,2019-20,1.0,53.0,16.4,9.5,-2.9,-0.2
1790,De'Andre Hunter,2019-20,1.0,63.0,32.0,8.6,-4.7,-1.4
