,Player,Season,class,G,MP,PER,BPM,VORP
617,Gorgui Dieng,2017-18,0.0,79.0,16.9,14.7,-1.0,0.3
619,Tyler Dorsey,2017-18,0.0,56.0,17.4,10.0,-2.9,-0.2
626,Jared Dudley,2017-18,0.0,48.0,14.3,8.8,-2.5,-0.1
633,James Ennis III,2017-18,0.0,72.0,22.3,11.6,-1.2,0.3
634,Tyler Ennis,2017-18,0.0,54.0,12.6,11.1,-2.1,0.0
642,Cristiano Felício,2017-18,0.0,55.0,17.8,12.5,-3.9,-0.5
643,Raymond Felton,2017-18,0.0,82.0,16.6,13.0,-0.6,0.5
644,Terrance Ferguson,2017-18,0.0,61.0,12.5,7.4,-3.3,-0.3
645,Yogi Ferrell,2017-18,0.0,82.0,27.8,11.4,-1.4,0.4
647,Bryn Forbes,2017-18,0.0,80.0,19.0,9.1,-3.1,-0.4
649,De'Aaron Fox,2017-18,0.0,73.0,27.8,11.2,-4.2,-1.1
650,Tim Frazier,2017-18,0.0,59.0,14.2,11.3,-0.9,0.2
655,Langston Galloway,2017-18,0.0,58.0,14.9,12.2,0.1,0.5
663,Manu Ginóbili,2017-18,0.0,65.0,20.0,12.9,-1.3,0.2
668,Treveon Graham,2017-18,0.0,63.0,16.7,9.0,-2.7,-0.2
670,Jerian Grant,2017-18,0.0,74.0,22.8,14.3,-1.3,0.3
675,JaMychal Green,2017-18,0.0,55.0,28.0,14.0,-2.3,-0.1
676,Jeff Green,2017-18,0.0,78.0,23.4,14.8,-1.8,0.1
683,Devin Harris,2017-18,0.0,71.0,18.9,13.0,-1.8,0.1
688,Andrew Harrison,2017-18,0.0,56.0,23.7,12.7,-1.5,0.2
690,Josh Hart,2017-18,0.0,63.0,23.2,12.2,-0.1,0.7
699,Mario Hezonja,2017-18,0.0,75.0,22.1,13.7,-0.5,0.6
707,Justin Holiday,2017-18,0.0,72.0,31.5,10.8,-1.9,0.0
716,Josh Huestis,2017-18,0.0,69.0,14.2,5.4,-3.9,-0.5
720,Andre Iguodala,2017-18,0.0,64.0,25.3,11.2,-0.3,0.7
727,Wes Iwundu,2017-18,0.0,62.0,16.5,7.8,-4.3,-0.6
728,Jarrett Jack,2017-18,0.0,62.0,25.0,11.5,-2.8,-0.3
731,Josh Jackson,2017-18,0.0,77.0,25.4,11.8,-4.2,-1.1
732,Justin Jackson,2017-18,0.0,68.0,22.1,9.2,-3.5,-0.6
739,Jonas Jerebko,2017-18,0.0,74.0,15.3,13.2,0.1,0.6
744,Joe Johnson,2017-18,0.0,55.0,21.9,8.1,-2.9,-0.3
746,Stanley Johnson,2017-18,0.0,69.0,27.4,9.0,-2.9,-0.4
748,Wesley Johnson,2017-18,0.0,74.0,20.1,9.8,-0.7,0.5
755,Cory Joseph,2017-18,0.0,82.0,27.0,11.0,-1.5,0.3
757,Luke Kennard,2017-18,0.0,73.0,20.0,12.1,-0.8,0.5
758,Michael Kidd-Gilchrist,2017-18,0.0,74.0,25.0,12.5,-2.1,-0.1
759,Sean Kilpatrick,2017-18,0.0,52.0,12.3,11.6,-2.8,-0.1
760,Maxi Kleber,2017-18,0.0,72.0,16.8,13.4,-0.5,0.5
767,Skal Labissière,2017-18,0.0,60.0,20.7,14.3,-2.7,-0.2
769,Shane Larkin,2017-18,0.0,54.0,14.4,10.3,-1.7,0.1
782,DeAndre Liggins,2017-18,0.0,58.0,12.5,6.0,-2.5,-0.1
785,Shaun Livingston,2017-18,0.0,71.0,15.9,11.6,-3.1,-0.3
786,Kevon Looney,2017-18,0.0,66.0,13.8,14.8,-0.2,0.4
788,Robin Lopez,2017-18,0.0,64.0,26.4,14.7,-2.2,-0.1
791,Timothé Luwawu-Cabarrot,2017-18,0.0,52.0,15.5,7.0,-4.1,-0.4
794,Shelvin Mack,2017-18,0.0,69.0,19.8,13.3,-1.4,0.2
796,Ian Mahinmi,2017-18,0.0,77.0,14.9,12.2,-4.4,-0.7
797,Thon Maker,2017-18,0.0,74.0,16.7,10.2,-3.5,-0.5
800,Jarell Martin,2017-18,0.0,73.0,22.8,10.5,-4.0,-0.8
801,Frank Mason III,2017-18,0.0,52.0,18.9,13.0,-2.3,-0.1
804,Luc Mbah a Moute,2017-18,0.0,61.0,25.6,10.3,-0.2,0.7
806,Patrick McCaw,2017-18,0.0,57.0,16.9,7.4,-4.1,-0.5
811,Doug McDermott,2017-18,0.0,81.0,21.8,10.4,-2.2,-0.1
816,Ben McLemore,2017-18,0.0,56.0,19.5,9.7,-3.9,-0.5
818,Jodie Meeks,2017-18,0.0,77.0,14.5,12.4,-1.1,0.3
822,C.J. Miles,2017-18,0.0,70.0,19.1,13.0,0.3,0.8
823,Darius Miller,2017-18,0.0,82.0,23.7,9.3,-1.9,0.1
825,Patty Mills,2017-18,0.0,82.0,25.7,11.8,-1.0,0.5
830,Malik Monk,2017-18,0.0,63.0,13.6,10.3,-3.4,-0.3
834,E'Twaun Moore,2017-18,0.0,82.0,31.5,12.1,-1.6,0.3
835,Eric Moreland,2017-18,0.0,67.0,12.0,13.9,0.5,0.5
838,Markieff Morris,2017-18,0.0,73.0,27.0,13.2,-1.3,0.4
842,Emmanuel Mudiay,2017-18,0.0,64.0,19.5,11.5,-3.9,-0.6
851,Jameer Nelson,2017-18,0.0,50.0,20.3,8.1,-3.3,-0.3
858,Frank Ntilikina,2017-18,0.0,78.0,21.9,7.0,-5.0,-1.3
860,David Nwaba,2017-18,0.0,70.0,23.5,12.2,-2.5,-0.2
862,Royce O'Neale,2017-18,0.0,69.0,16.7,10.8,-0.2,0.5
864,Semi Ojeleye,2017-18,0.0,73.0,15.8,4.6,-4.7,-0.8
870,Cedi Osman,2017-18,0.0,61.0,11.0,11.0,-2.9,-0.1
871,Kelly Oubre Jr.,2017-18,0.0,81.0,27.5,11.9,-1.7,0.2
872,Zaza Pachulia,2017-18,0.0,69.0,14.1,17.0,0.0,0.5
876,Tony Parker,2017-18,0.0,55.0,19.5,12.7,-3.3,-0.3
878,Patrick Patterson,2017-18,0.0,82.0,15.5,10.0,-0.2,0.6
880,Brandon Paul,2017-18,0.0,64.0,9.0,7.4,-3.5,-0.2
891,Miles Plumlee,2017-18,0.0,55.0,16.7,10.6,-3.8,-0.4
898,Norman Powell,2017-18,0.0,70.0,15.2,8.5,-2.9,-0.3
915,Andre Roberson,2017-18,0.0,39.0,26.6,10.9,-0.1,0.5
923,D'Angelo Russell,2017-18,0.0,48.0,25.7,15.2,-1.2,0.3
929,Mike Scott,2017-18,0.0,76.0,18.5,13.6,-1.7,0.1
937,Jonathon Simmons,2017-18,0.0,69.0,29.4,12.7,-3.1,-0.5
940,Marcus Smart,2017-18,0.0,54.0,29.9,10.8,-1.2,0.3
941,Dennis Smith Jr.,2017-18,0.0,69.0,29.7,12.8,-2.4,-0.2
943,J.R. Smith,2017-18,0.0,80.0,28.1,8.4,-3.0,-0.6
946,Tony Snell,2017-18,0.0,75.0,27.4,8.5,-2.3,-0.1
949,Lance Stephenson,2017-18,0.0,82.0,22.6,12.4,-1.8,0.1
955,Isaiah Taylor,2017-18,0.0,67.0,17.4,10.9,-4.4,-0.7
959,Garrett Temple,2017-18,0.0,65.0,24.8,10.2,-2.5,-0.2
960,Miloš Teodosić,2017-18,0.0,45.0,25.2,11.6,-1.7,0.1
961,Jason Terry,2017-18,0.0,51.0,16.0,8.1,-2.0,0.0
