,id,player,u_player,vorp,per,bpm
162,164,Danny Green,Danny Green 2016-17,1.3,10.1,0.8
163,165,Draymond Green,Draymond Green 2016-17,4.3,16.5,4.9
164,166,Gerald Green,Gerald Green 2016-17,-0.1,11.9,-3.0
165,167,JaMychal Green,JaMychal Green 2016-17,0.6,13.5,-0.8
166,168,Jeff Green,Jeff Green 2016-17,-0.6,10.5,-3.6
167,169,Blake Griffin,Blake Griffin 2016-17,3.5,22.6,4.7
168,170,Justin Hamilton,Justin Hamilton 2016-17,0.4,13.6,-0.8
169,171,A.J. Hammons,A.J. Hammons 2016-17,-0.2,8.4,-6.6
170,172,Tim Hardaway Jr.,Tim Hardaway Jr. 2016-17,1.4,15.2,0.5
171,173,James Harden,James Harden 2016-17,8.0,27.4,8.7
172,174,Maurice Harkless,Maurice Harkless 2016-17,0.8,13.1,-0.6
173,175,Justin Harper,Justin Harper 2016-17,-0.1,4.9,-10.3
174,176,Montrezl Harrell,Montrezl Harrell 2016-17,0.8,19.2,1.0
175,177,Devin Harris,Devin Harris 2016-17,0.4,13.8,-0.4
176,178,Gary Harris,Gary Harris 2016-17,1.2,16.5,0.7
177,179,Joe Harris,Joe Harris 2016-17,-0.4,9.0,-3.5
178,180,Manny Harris,Manny Harris 2016-17,-0.1,-2.2,-14.8
179,181,Tobias Harris,Tobias Harris 2016-17,2.3,16.9,1.6
180,182,Aaron Harrison,Aaron Harrison 2016-17,0.0,-2.2,-11.8
181,183,Andrew Harrison,Andrew Harrison 2016-17,-0.5,8.7,-3.4
182,184,Udonis Haslem,Udonis Haslem 2016-17,-0.1,8.8,-5.3
183,185,Spencer Hawes,Spencer Hawes 2016-17,0.5,15.6,0.5
184,186,Gordon Hayward,Gordon Hayward 2016-17,4.5,22.2,5.0
185,187,Gerald Henderson,Gerald Henderson 2016-17,-0.5,10.8,-3.1
186,188,John Henson,John Henson 2016-17,0.1,15.3,-1.6
187,189,Juancho Hernangómez,Juancho Hernangómez 2016-17,0.4,13.4,-0.1
188,190,Willy Hernangómez,Willy Hernangómez 2016-17,0.6,19.0,-0.3
189,191,Mario Hezonja,Mario Hezonja 2016-17,-0.7,7.2,-5.0
190,192,Roy Hibbert,Roy Hibbert 2016-17,0.0,13.5,-2.3
191,193,Buddy Hield,Buddy Hield 2016-17,0.0,11.8,-2.0
192,194,Nenê,Nenê 2016-17,0.8,18.9,0.8
193,195,George Hill,George Hill 2016-17,2.3,19.3,3.8
194,196,Jordan Hill,Jordan Hill 2016-17,-0.1,5.5,-12.3
195,197,Solomon Hill,Solomon Hill 2016-17,-0.4,8.0,-2.7
196,198,Darrun Hilliard,Darrun Hilliard 2016-17,-0.4,5.9,-6.0
197,199,Jrue Holiday,Jrue Holiday 2016-17,1.8,17.1,1.3
198,200,Justin Holiday,Justin Holiday 2016-17,0.7,12.7,-0.3
199,201,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson 2016-17,0.3,13.7,-1.3
200,202,Richaun Holmes,Richaun Holmes 2016-17,0.9,18.6,1.0
201,203,Rodney Hood,Rodney Hood 2016-17,0.4,12.4,-0.9
202,204,Al Horford,Al Horford 2016-17,3.0,17.7,3.4
203,206,Dwight Howard,Dwight Howard 2016-17,1.9,20.8,1.4
204,207,Marcelo Huertas,Marcelo Huertas 2016-17,-0.2,9.1,-4.6
205,209,Kris Humphries,Kris Humphries 2016-17,0.0,13.6,-2.0
206,210,R.J. Hunter,R.J. Hunter 2016-17,0.0,-3.2,-9.0
207,211,Serge Ibaka,Serge Ibaka 2016-17,1.2,16.4,0.1
208,212,Andre Iguodala,Andre Iguodala 2016-17,2.3,14.3,2.5
209,213,Ersan İlyasova,Ersan İlyasova 2016-17,1.1,14.6,0.1
210,214,Joe Ingles,Joe Ingles 2016-17,1.8,12.4,1.6
211,215,Brandon Ingram,Brandon Ingram 2016-17,-1.4,8.5,-4.4
212,216,Kyrie Irving,Kyrie Irving 2016-17,3.4,23.0,3.4
213,218,Demetrius Jackson,Demetrius Jackson 2016-17,0.1,30.8,9.8
214,219,Pierre Jackson,Pierre Jackson 2016-17,-0.1,13.0,-4.4
215,220,Reggie Jackson,Reggie Jackson 2016-17,0.4,14.9,-1.0
216,221,LeBron James,LeBron James 2016-17,6.7,27.0,7.6
217,222,Al Jefferson,Al Jefferson 2016-17,0.1,18.9,-1.4
218,223,Richard Jefferson,Richard Jefferson 2016-17,-0.4,8.3,-3.1
219,224,John Jenkins,John Jenkins 2016-17,0.0,17.3,2.2
220,225,Brandon Jennings,Brandon Jennings 2016-17,-0.2,12.1,-2.4
221,226,Jonas Jerebko,Jonas Jerebko 2016-17,-0.1,9.3,-2.4
222,227,Amir Johnson,Amir Johnson 2016-17,1.1,15.0,0.6
223,228,Brice Johnson,Brice Johnson 2016-17,0.0,17.2,-2.0
224,229,James Johnson,James Johnson 2016-17,2.5,17.0,2.8
225,230,Joe Johnson,Joe Johnson 2016-17,1.1,12.8,0.4
226,231,Stanley Johnson,Stanley Johnson 2016-17,-0.3,7.2,-3.0
227,232,Tyler Johnson,Tyler Johnson 2016-17,1.8,15.9,1.4
228,233,Wesley Johnson,Wesley Johnson 2016-17,0.0,8.4,-2.0
229,234,Nikola Jokić,Nikola Jokić 2016-17,4.8,26.3,7.3
230,236,Damian Jones,Damian Jones 2016-17,-0.2,5.3,-9.7
231,237,Derrick Jones Jr.,Derrick Jones Jr. 2016-17,0.0,12.0,-2.3
232,238,James Jones,James Jones 2016-17,0.2,11.1,-0.3
233,239,Terrence Jones,Terrence Jones 2016-17,0.5,16.1,-0.6
234,240,Tyus Jones,Tyus Jones 2016-17,0.4,13.8,0.2
235,241,DeAndre Jordan,DeAndre Jordan 2016-17,3.5,21.8,3.3
236,242,Cory Joseph,Cory Joseph 2016-17,0.4,13.2,-1.3
237,243,Frank Kaminsky,Frank Kaminsky 2016-17,0.4,13.0,-1.2
238,244,Ryan Kelly,Ryan Kelly 2016-17,0.0,7.8,-3.1
239,245,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist 2016-17,0.7,14.3,-0.7
240,246,Sean Kilpatrick,Sean Kilpatrick 2016-17,-0.1,13.1,-2.3
241,247,Brandon Knight,Brandon Knight 2016-17,-0.2,12.4,-2.8
242,248,Kyle Korver,Kyle Korver 2016-17,0.9,12.1,0.0
243,249,Kosta Koufos,Kosta Koufos 2016-17,-0.2,13.8,-2.5
244,250,Mindaugas Kuzminskas,Mindaugas Kuzminskas 2016-17,0.0,12.4,-1.9
245,251,Skal Labissière,Skal Labissière 2016-17,0.0,16.8,-2.3
246,252,Jeremy Lamb,Jeremy Lamb 2016-17,0.7,17.0,0.5
247,253,Nicolás Laprovíttola,Nicolás Laprovíttola 2016-17,-0.1,8.4,-3.9
248,254,Joffrey Lauvergne,Joffrey Lauvergne 2016-17,-0.1,12.6,-2.2
249,255,Zach LaVine,Zach LaVine 2016-17,0.9,14.6,0.1
250,256,Ty Lawson,Ty Lawson 2016-17,0.4,15.4,-1.0
251,257,Jake Layman,Jake Layman 2016-17,-0.3,4.9,-6.4
252,258,Courtney Lee,Courtney Lee 2016-17,0.7,12.2,-0.9
253,259,David Lee,David Lee 2016-17,1.4,18.5,1.8
254,260,Alex Len,Alex Len 2016-17,-0.1,15.0,-2.3
255,261,Kawhi Leonard,Kawhi Leonard 2016-17,7.1,27.6,9.4
256,262,Meyers Leonard,Meyers Leonard 2016-17,-0.4,8.9,-3.3
257,263,Jon Leuer,Jon Leuer 2016-17,1.0,14.2,-0.1
258,264,Caris LeVert,Caris LeVert 2016-17,0.3,12.3,-1.1
259,265,DeAndre Liggins,DeAndre Liggins 2016-17,0.0,7.5,-2.2
260,266,Damian Lillard,Damian Lillard 2016-17,4.8,24.1,5.0
261,267,Jeremy Lin,Jeremy Lin 2016-17,0.9,19.2,2.0
262,268,Shaun Livingston,Shaun Livingston 2016-17,-0.2,10.1,-2.5
263,269,Shawn Long,Shawn Long 2016-17,0.2,24.1,1.2
264,270,Kevon Looney,Kevon Looney 2016-17,0.0,13.6,-1.7
265,271,Brook Lopez,Brook Lopez 2016-17,2.4,20.4,2.3
266,272,Robin Lopez,Robin Lopez 2016-17,-0.1,14.4,-2.2
267,273,Kevin Love,Kevin Love 2016-17,1.9,21.1,2.1
268,274,Kyle Lowry,Kyle Lowry 2016-17,4.6,22.9,6.1
269,275,John Lucas III,John Lucas III 2016-17,0.0,9.1,3.1
270,276,Timothé Luwawu-Cabarrot,Timothé Luwawu-Cabarrot 2016-17,-0.8,8.5,-4.6
271,277,Trey Lyles,Trey Lyles 2016-17,-0.1,9.9,-2.2
272,278,Sheldon Mac,Sheldon Mac 2016-17,0.0,10.1,-2.3
273,279,Shelvin Mack,Shelvin Mack 2016-17,-0.1,10.9,-2.3
274,280,Ian Mahinmi,Ian Mahinmi 2016-17,0.1,14.1,-1.4
275,281,Thon Maker,Thon Maker 2016-17,0.0,14.0,-2.0
276,282,Boban Marjanović,Boban Marjanović 2016-17,0.6,29.6,5.5
277,283,Jarell Martin,Jarell Martin 2016-17,-0.5,8.7,-5.8
278,284,Wesley Matthews,Wesley Matthews 2016-17,0.8,11.9,-0.8
279,285,Luc Mbah a Moute,Luc Mbah a Moute 2016-17,0.8,10.2,-0.2
280,286,James Michael McAdoo,James Michael McAdoo 2016-17,0.0,13.1,-1.8
281,287,Patrick McCaw,Patrick McCaw 2016-17,-0.1,8.6,-2.4
282,288,CJ McCollum,CJ McCollum 2016-17,2.8,19.9,2.0
283,289,T.J. McConnell,T.J. McConnell 2016-17,0.5,13.7,-1.0
284,290,Chris McCullough,Chris McCullough 2016-17,0.0,15.2,-3.6
285,291,K.J. McDaniels,K.J. McDaniels 2016-17,0.0,11.5,-2.3
286,292,Doug McDermott,Doug McDermott 2016-17,-0.1,10.7,-2.3
287,293,JaVale McGee,JaVale McGee 2016-17,0.6,25.2,1.2
288,294,Rodney McGruder,Rodney McGruder 2016-17,0.0,9.1,-1.9
289,295,Ben McLemore,Ben McLemore 2016-17,-0.6,9.8,-4.2
290,296,Jordan McRae,Jordan McRae 2016-17,-0.2,9.7,-3.7
291,297,Josh McRoberts,Josh McRoberts 2016-17,0.0,9.8,-1.6
292,298,Jodie Meeks,Jodie Meeks 2016-17,0.1,13.1,-1.8
293,299,Salah Mejri,Salah Mejri 2016-17,0.3,14.8,-0.7
294,300,Jordan Mickey,Jordan Mickey 2016-17,-0.1,9.8,-4.7
295,301,Khris Middleton,Khris Middleton 2016-17,0.4,15.0,-0.3
296,302,C.J. Miles,C.J. Miles 2016-17,1.1,13.8,0.5
297,303,Mike Miller,Mike Miller 2016-17,0.0,7.6,-1.5
298,304,Patty Mills,Patty Mills 2016-17,1.6,15.2,1.6
299,306,Paul Millsap,Paul Millsap 2016-17,2.4,17.8,2.1
300,307,Nikola Mirotić,Nikola Mirotić 2016-17,1.1,14.5,0.7
301,308,Greg Monroe,Greg Monroe 2016-17,1.7,21.1,1.8
302,309,E'Twaun Moore,E'Twaun Moore 2016-17,0.2,12.1,-1.6
303,310,Marcus Morris,Marcus Morris 2016-17,0.6,12.4,-1.1
304,311,Markieff Morris,Markieff Morris 2016-17,0.3,13.7,-1.5
305,312,Anthony Morrow,Anthony Morrow 2016-17,0.0,10.1,-2.3
306,313,Donatas Motiejūnas,Donatas Motiejūnas 2016-17,-0.3,9.1,-4.3
307,314,Timofey Mozgov,Timofey Mozgov 2016-17,-0.7,12.3,-4.3
308,315,Emmanuel Mudiay,Emmanuel Mudiay 2016-17,-0.4,10.9,-3.2
309,316,Shabazz Muhammad,Shabazz Muhammad 2016-17,-0.1,14.9,-2.4
310,317,Dejounte Murray,Dejounte Murray 2016-17,-0.2,9.6,-4.8
311,318,Jamal Murray,Jamal Murray 2016-17,0.0,11.9,-2.0
312,319,Mike Muscala,Mike Muscala 2016-17,1.0,14.4,1.1
313,320,Larry Nance Jr.,Larry Nance Jr. 2016-17,1.0,15.7,0.6
314,321,Shabazz Napier,Shabazz Napier 2016-17,0.2,13.6,-0.4
315,322,Maurice Ndour,Maurice Ndour 2016-17,-0.1,11.3,-2.8
316,324,Jameer Nelson,Jameer Nelson 2016-17,0.0,11.5,-2.0
317,325,Raul Neto,Raul Neto 2016-17,0.2,10.7,-0.1
318,326,Georges Niang,Georges Niang 2016-17,-0.2,0.1,-11.7
319,327,Andrew Nicholson,Andrew Nicholson 2016-17,-0.3,5.9,-6.0
320,328,Joakim Noah,Joakim Noah 2016-17,0.4,15.2,-0.5
321,329,Nerlens Noel,Nerlens Noel 2016-17,1.2,20.4,2.4
322,330,Lucas Nogueira,Lucas Nogueira 2016-17,1.1,15.5,2.0
323,331,Steve Novak,Steve Novak 2016-17,-0.1,1.3,-11.2
324,332,Dirk Nowitzki,Dirk Nowitzki 2016-17,1.0,17.0,0.8
325,333,Jusuf Nurkić,Jusuf Nurkić 2016-17,0.4,17.5,-0.9
326,334,David Nwaba,David Nwaba 2016-17,0.0,12.2,-2.2
327,335,Johnny O'Bryant,Johnny O'Bryant 2016-17,0.0,14.9,-2.4
328,336,Kyle O'Quinn,Kyle O'Quinn 2016-17,1.2,20.5,1.9
329,337,Daniel Ochefu,Daniel Ochefu 2016-17,-0.1,6.6,-8.4
330,338,Jahlil Okafor,Jahlil Okafor 2016-17,-0.1,14.8,-2.5
331,339,Victor Oladipo,Victor Oladipo 2016-17,0.8,13.6,-0.5
332,340,Kelly Olynyk,Kelly Olynyk 2016-17,0.9,15.3,0.3
333,341,Arinze Onuaku,Arinze Onuaku 2016-17,0.0,5.8,-6.4
334,342,Chinanu Onuaku,Chinanu Onuaku 2016-17,0.0,12.3,-1.5
335,343,Kelly Oubre Jr.,Kelly Oubre Jr. 2016-17,-0.5,9.1,-3.2
336,344,Zaza Pachulia,Zaza Pachulia 2016-17,0.8,16.1,0.6
337,345,Georgios Papagiannis,Georgios Papagiannis 2016-17,-0.2,12.7,-3.8
338,346,Jabari Parker,Jabari Parker 2016-17,1.2,19.1,0.7
339,347,Tony Parker,Tony Parker 2016-17,-0.2,13.0,-2.6
340,348,Chandler Parsons,Chandler Parsons 2016-17,-0.3,7.7,-3.8
341,349,Lamar Patterson,Lamar Patterson 2016-17,-0.1,-1.9,-11.4
342,350,Patrick Patterson,Patrick Patterson 2016-17,0.8,10.8,0.1
343,351,Chris Paul,Chris Paul 2016-17,5.2,26.2,8.7
344,352,Adreian Payne,Adreian Payne 2016-17,0.0,14.4,-2.3
345,353,Cameron Payne,Cameron Payne 2016-17,-0.5,5.5,-6.1
346,354,Elfrid Payton,Elfrid Payton 2016-17,1.7,17.2,0.8
347,355,Gary Payton II,Gary Payton II 2016-17,-0.1,4.5,-6.5
348,356,Paul Pierce*,Paul Pierce* 2016-17,-0.2,5.7,-4.7
349,357,Marshall Plumlee,Marshall Plumlee 2016-17,-0.1,10.9,-4.6
350,358,Mason Plumlee,Mason Plumlee 2016-17,2.2,18.1,2.0
351,359,Miles Plumlee,Miles Plumlee 2016-17,-0.4,8.4,-5.0
