player,vorp,per,bpm,class
MarShon Brooks,0.15000000000000002,18.85,2.05,1
Marc Gasol,2.52,15.680000000000001,2.9,1
Marcus Derrickson,0.0,19.4,-2.7,1
Marreese Speights,0.5,15.6,-0.25000000000000006,1
Marvin Bagley III,0.0,16.933333333333334,-2.533333333333333,1
Mason Plumlee,1.52,18.06,1.7600000000000002,1
Michael Beasley,0.3333333333333333,17.166666666666668,-0.8333333333333334,1
Michael Porter Jr.,1.65,20.200000000000003,2.3,1
Mike Conley,2.52,18.66,3.44,1
Mitch Creek,0.1,20.2,3.5,1
Mitchell Robinson,1.3666666666666665,21.066666666666666,2.1999999999999997,1
Mo Bamba,0.3333333333333333,17.233333333333334,-0.3,1
Monte Morris,0.75,18.05,2.6,1
Montrezl Harrell,1.92,22.639999999999997,2.7,1
Myles Turner,1.4200000000000002,16.64,0.78,1
Naz Reid,0.3,16.75,-1.05,1
Nenê,0.3333333333333333,15.733333333333333,-0.8000000000000002,1
Nerlens Noel,1.08,18.22,1.9,1
Nic Claxton,0.25,15.85,-0.14999999999999997,1
Nikola Jokić,6.32,26.639999999999997,8.559999999999999,1
Nikola Mirotić,1.2666666666666668,16.8,1.4666666666666668,1
Nikola Vučević,3.38,21.82,4.04,1
Onyeka Okongwu,0.1,16.8,-1.4,1
Otto Porter Jr.,1.7399999999999998,16.36,1.7399999999999998,1
Pascal Siakam,1.5,16.06,0.78,1
Pau Gasol,1.8333333333333333,18.599999999999998,3.5,1
Paul George,3.8,20.759999999999998,4.46,1
Paul Millsap,1.3,17.2,1.06,1
Paul Reed,0.0,21.2,-1.0,1
Reggie Jackson,0.7,14.780000000000001,-0.18,1
Richaun Holmes,0.8800000000000001,19.32,0.86,1
Ricky Rubio,1.1600000000000001,15.24,0.1,1
Robert Franks,0.0,16.5,-0.2,1
Robert Williams,1.0,22.53333333333333,4.3,1
Rudy Gay,0.9,16.7,0.6399999999999999,1
Rudy Gobert,3.7600000000000002,22.759999999999998,4.340000000000001,1
Russell Westbrook,5.0600000000000005,23.380000000000003,5.5600000000000005,1
Salah Mejri,0.3666666666666667,16.233333333333334,0.26666666666666666,1
Scott Machado,0.0,22.2,5.5,1
Serge Ibaka,1.0,17.06,0.33999999999999997,1
Shabazz Napier,0.6,14.225,0.17499999999999993,1
Shai Gilgeous-Alexander,1.5999999999999999,17.566666666666666,1.7666666666666666,1
Shamorie Ponds,0.0,33.1,13.7,1
Shawn Long,0.2,24.1,1.2,1
Skylar Mays,0.3,16.8,1.9,1
Spencer Dinwiddie,1.02,14.559999999999999,0.44000000000000006,1
Spencer Hawes,0.5,15.6,0.5,1
Stephen Curry,4.2,25.04,6.76,1
Steven Adams,1.6,18.240000000000002,0.9200000000000002,1
T.J. McConnell,0.82,14.6,0.0,1
T.J. Warren,0.72,15.9,-1.1800000000000002,1
Tacko Fall,0.1,24.0,3.85,1
Taj Gibson,0.6,16.060000000000002,-0.38,1
Terrence Jones,0.5,16.1,-0.6,1
Terry Rozier,1.2200000000000002,14.160000000000002,0.34,1
Thaddeus Young,1.5,15.9,0.86,1
Thomas Bryant,0.725,17.675,0.45000000000000007,1
Thomas Robinson,0.0,17.3,-2.1,1
Thomas Welsh,0.0,16.1,1.2,1
Tim Hardaway Jr.,0.86,14.680000000000001,-0.36,1
Tobias Harris,2.44,17.68,1.9200000000000004,1
Tony Bradley,0.3,17.875,-2.725,1
Trae Young,2.3333333333333335,21.3,2.3333333333333335,1
Trevon Duval,0.0,38.3,24.4,1
Trevor Booker,0.5,15.3,-0.6,1
Trey Burke,0.3,15.3,-0.48,1
Tristan Thompson,0.18,15.66,-1.6199999999999999,1
Troy Caupain,0.1,30.7,13.3,1
Ty Lawson,0.4,15.4,-1.0,1
Tyler Cook,-0.05,16.1,-1.6,1
Tyreke Evans,0.9666666666666667,16.033333333333335,0.7333333333333334,1
Tyrese Haliburton,1.5,16.2,1.4,1
Tyus Jones,0.76,14.459999999999999,0.36,1
Victor Oladipo,1.42,15.98,0.64,1
Vince Hunter,0.0,35.8,9.7,1
Wendell Carter Jr.,0.06666666666666667,15.799999999999999,-1.7666666666666666,1
Willie Cauley-Stein,0.8,16.64,-0.14000000000000004,1
Willie Reed,0.3,18.15,-0.04999999999999999,1
Willy Hernangómez,0.4,19.880000000000003,0.21999999999999997,1
Xavier Tillman Sr.,0.5,14.7,-0.2,1
Zach LaVine,1.56,17.759999999999998,1.02,1
Zach Randolph,0.55,17.9,-0.75,1
Zaza Pachulia,0.5,15.6,-0.19999999999999998,1
Zion Williamson,2.35,25.6,3.95,1
