,player,year,g,mp,per,bpm,vorp,class
1618,Quinn Cook,2017-18,33.0,22.4,12.8,-1.6,0.1,below average
1619,Jack Cooley,2017-18,7.0,12.4,19.7,-0.6,0.0,below average
1620,Cheick Diallo,2017-18,52.0,11.2,17.0,-1.2,0.1,below average
1621,Damyean Dotson,2017-18,44.0,10.8,11.6,-2.3,0.0,below average
1622,Dante Exum,2017-18,14.0,16.8,16.7,0.1,0.1,below average
1623,Kenneth Faried,2017-18,32.0,14.4,17.4,-2.1,0.0,below average
1624,Channing Frye,2017-18,53.0,13.1,13.1,-0.5,0.3,below average
1625,Markelle Fultz,2017-18,14.0,18.1,12.4,-2.6,0.0,below average
1626,Danilo Gallinari,2017-18,21.0,32.0,13.8,-0.5,0.3,below average
1627,Gerald Green,2017-18,41.0,22.7,14.1,0.3,0.5,below average
1628,Shaquille Harrison,2017-18,23.0,16.7,15.6,-0.7,0.1,below average
1629,Myke Henry,2017-18,20.0,18.9,9.7,-1.3,0.1,below average
1630,Willy Hernangómez,2017-18,48.0,10.3,21.2,1.4,0.4,below average
1631,Nenê,2017-18,52.0,14.6,16.4,-1.0,0.2,below average
1632,Richaun Holmes,2017-18,48.0,15.5,17.4,1.1,0.6,below average
1633,Danuel House Jr.,2017-18,23.0,17.5,12.4,-1.6,0.0,below average
1634,Jonathan Isaac,2017-18,27.0,19.9,9.8,-1.4,0.1,below average
1635,Mike James,2017-18,36.0,19.1,13.9,-1.5,0.1,below average
1636,Al Jefferson,2017-18,36.0,13.4,20.2,2.0,0.5,below average
1637,Brice Johnson,2017-18,18.0,5.4,18.2,-0.4,0.0,below average
1638,Dakari Johnson,2017-18,31.0,5.2,16.4,-0.3,0.1,below average
1639,Luke Kornet,2017-18,20.0,16.3,13.6,0.2,0.2,below average
1640,Joffrey Lauvergne,2017-18,55.0,9.7,16.5,-1.0,0.1,below average
1641,Zach LaVine,2017-18,24.0,27.3,14.6,-2.3,-0.1,below average
1642,T.J. Leaf,2017-18,53.0,8.7,10.7,-3.1,-0.1,below average
1643,Damion Lee,2017-18,15.0,26.9,12.0,-1.9,0.0,below average
1644,Meyers Leonard,2017-18,33.0,7.7,17.8,2.0,0.3,below average
1645,Josh Magette,2017-18,18.0,12.0,11.9,-2.6,0.0,below average
1646,Boban Marjanović,2017-18,39.0,8.6,26.0,2.5,0.4,below average
1647,Chris McCullough,2017-18,19.0,4.7,15.8,-1.8,0.0,below average
1648,JaVale McGee,2017-18,65.0,9.5,22.3,1.5,0.5,below average
1649,Rodney McGruder,2017-18,18.0,16.6,12.0,-1.4,0.1,below average
1650,Salah Mejri,2017-18,61.0,12.0,17.8,0.7,0.5,below average
1651,Johnathan Motley,2017-18,11.0,16.0,17.2,-3.3,-0.1,below average
1652,Shabazz Muhammad,2017-18,43.0,9.7,15.4,-2.5,-0.1,below average
1653,Raul Neto,2017-18,41.0,12.1,11.9,-1.4,0.1,below average
1654,Joakim Noah,2017-18,7.0,5.7,15.6,-0.8,0.0,below average
1655,Nerlens Noel,2017-18,30.0,15.7,16.2,0.5,0.3,below average
1656,Lucas Nogueira,2017-18,49.0,8.5,17.3,5.2,0.8,below average
1657,Emeka Okafor,2017-18,26.0,13.6,16.4,-1.2,0.1,below average
1658,Jahlil Okafor,2017-18,28.0,12.6,15.3,-1.7,0.0,below average
1659,Jabari Parker,2017-18,31.0,24.0,17.1,-0.8,0.2,below average
1660,Chandler Parsons,2017-18,36.0,19.2,13.6,0.8,0.5,below average
1661,Cameron Payne,2017-18,25.0,23.3,14.0,-0.4,0.2,below average
1662,Ivan Rabb,2017-18,36.0,14.3,16.6,-2.0,0.0,below average
1663,Willie Reed,2017-18,42.0,10.2,19.2,0.8,0.3,below average
1664,Glenn Robinson III,2017-18,23.0,14.7,10.8,-0.7,0.1,below average
1665,JaKarr Sampson,2017-18,22.0,15.6,13.9,-1.2,0.1,below average
1666,Thabo Sefolosha,2017-18,38.0,21.2,15.8,2.7,0.9,below average
1667,Wayne Selden,2017-18,35.0,19.8,11.8,-3.1,-0.2,below average
1668,Marreese Speights,2017-18,52.0,13.0,13.7,-1.1,0.1,below average
1669,Mirza Teletović,2017-18,10.0,15.9,13.5,0.4,0.1,below average
1670,Daniel Theis,2017-18,63.0,14.9,16.1,0.3,0.5,below average
1671,Derrick Walton,2017-18,16.0,9.2,11.2,1.3,0.1,below average
1672,Briante Weber,2017-18,18.0,13.2,10.1,-1.3,0.0,below average
1673,Derrick White,2017-18,17.0,8.2,15.9,2.3,0.2,below average
1674,Troy Williams,2017-18,21.0,14.6,15.1,-0.5,0.1,below average
1675,Jamil Wilson,2017-18,15.0,18.3,11.4,0.2,0.2,below average
1676,Brandan Wright,2017-18,28.0,13.6,19.0,2.1,0.4,below average
1677,Guerschon Yabusele,2017-18,33.0,7.1,12.3,-1.2,0.0,below average
1678,Cody Zeller,2017-18,33.0,19.0,15.9,-1.2,0.1,below average
1679,Ante Žižić,2017-18,32.0,6.7,24.2,1.0,0.2,below average
1680,Ivica Zubac,2017-18,43.0,9.5,15.3,-2.0,0.0,below average
1681,Kadeem Allen,2018-19,19.0,21.9,16.2,0.5,0.3,below average
1682,Justin Anderson,2018-19,48.0,9.6,11.2,-2.7,-0.1,below average
1683,Mo Bamba,2018-19,47.0,16.3,14.9,-1.4,0.1,below average
1684,J.J. Barea,2018-19,38.0,19.8,16.3,-0.6,0.3,below average
1685,Aron Baynes,2018-19,51.0,16.1,14.0,-1.5,0.1,below average
1686,Michael Beasley,2018-19,26.0,10.7,15.9,-1.5,0.0,below average
1687,Khem Birch,2018-19,50.0,12.9,19.2,1.2,0.5,below average
1688,Andrew Bogut,2018-19,11.0,12.2,13.4,-2.9,0.0,below average
1689,Jonah Bolden,2018-19,44.0,14.5,12.7,-0.7,0.2,below average
1690,Chris Boucher,2018-19,28.0,5.8,22.2,2.6,0.2,below average
1691,Corey Brewer,2018-19,31.0,15.9,11.6,-1.3,0.1,below average
1692,Ryan Broekhoff,2018-19,42.0,10.8,10.7,-1.0,0.1,below average
1693,MarShon Brooks,2018-19,29.0,13.3,11.6,-3.0,-0.1,below average
1694,Bruno Caboclo,2018-19,34.0,23.5,12.4,-1.1,0.2,below average
1695,Michael Carter-Williams,2018-19,28.0,13.3,14.7,0.8,0.3,below average
1696,Alex Caruso,2018-19,25.0,21.2,13.9,-0.2,0.2,below average
1697,Omri Casspi,2018-19,36.0,14.4,15.7,0.4,0.3,below average
1698,Deyonta Davis,2018-19,9.0,13.1,15.6,-2.0,0.0,below average
1699,Sam Dekker,2018-19,47.0,16.8,13.3,-1.8,0.1,below average
1700,Luol Deng,2018-19,22.0,17.8,14.6,0.0,0.2,below average
1701,Marcus Derrickson,2018-19,11.0,6.1,19.4,-2.7,0.0,below average
1702,Henry Ellenson,2018-19,19.0,13.6,13.1,-1.5,0.0,below average
1703,Drew Eubanks,2018-19,23.0,4.9,15.1,-1.3,0.0,below average
