,player,year,g,mp,per,bpm,vorp,class
408,Dwight Powell,2017-18,79.0,21.2,18.8,1.6,1.5,good
409,Taurean Prince,2017-18,82.0,30.0,12.8,-1.1,0.6,good
410,Julius Randle,2017-18,82.0,26.7,19.9,0.6,1.4,good
411,Zach Randolph,2017-18,59.0,25.6,17.3,-1.0,0.4,good
412,J.J. Redick,2017-18,70.0,30.2,15.9,1.1,1.7,good
413,Josh Richardson,2017-18,81.0,33.2,13.6,0.7,1.8,good
414,Austin Rivers,2017-18,61.0,33.7,12.6,-1.2,0.4,good
415,Rajon Rondo,2017-18,65.0,26.2,15.3,-0.3,0.7,good
416,Terry Rozier,2017-18,80.0,25.9,15.1,2.1,2.1,good
417,Ricky Rubio,2017-18,77.0,29.3,15.4,0.7,1.6,good
418,Domantas Sabonis,2017-18,74.0,24.5,17.5,-1.1,0.4,good
419,Dario Šarić,2017-18,78.0,29.6,15.8,1.3,1.9,good
420,Tomáš Satoranský,2017-18,73.0,22.5,15.4,1.2,1.3,good
421,Dennis Schröder,2017-18,67.0,31.0,17.3,-0.6,0.7,good
422,Pascal Siakam,2017-18,81.0,20.7,14.5,1.3,1.4,good
423,Ish Smith,2017-18,82.0,24.9,15.4,0.0,1.0,good
424,Jayson Tatum,2017-18,80.0,30.5,15.2,1.2,2.0,good
425,Jeff Teague,2017-18,70.0,33.0,16.4,0.4,1.4,good
426,Klay Thompson,2017-18,73.0,34.3,16.0,-0.4,1.0,good
427,Anthony Tolliver,2017-18,79.0,22.2,13.9,0.9,1.3,good
428,Myles Turner,2017-18,65.0,28.2,16.6,-0.2,0.8,good
429,Ekpe Udoh,2017-18,63.0,12.9,15.2,3.1,1.1,good
430,Jonas Valančiūnas,2017-18,77.0,22.4,22.5,2.4,1.9,good
431,Fred VanVleet,2017-18,76.0,20.0,15.9,2.4,1.7,good
432,Nikola Vučević,2017-18,57.0,29.5,19.7,2.7,2.0,good
433,John Wall,2017-18,41.0,34.4,19.1,3.0,1.8,good
434,T.J. Warren,2017-18,65.0,33.0,17.6,-0.7,0.7,good
435,David West,2017-18,73.0,13.7,20.9,3.1,1.3,good
436,Hassan Whiteside,2017-18,54.0,25.3,24.1,2.6,1.6,good
437,Marvin Williams,2017-18,78.0,25.7,13.9,1.0,1.5,good
438,Delon Wright,2017-18,69.0,20.8,16.5,3.3,1.9,good
439,Thaddeus Young,2017-18,81.0,32.2,14.8,0.2,1.4,good
440,Steven Adams,2018-19,80.0,33.4,18.5,1.1,2.1,good
441,Bam Adebayo,2018-19,82.0,23.3,17.9,1.8,1.8,good
442,Jarrett Allen,2018-19,80.0,26.2,18.5,1.6,1.9,good
443,Al-Farouq Aminu,2018-19,81.0,28.3,13.2,0.7,1.5,good
444,Kyle Anderson,2018-19,43.0,29.8,12.8,0.8,0.9,good
445,Trevor Ariza,2018-19,69.0,34.0,12.0,-1.3,0.4,good
446,D.J. Augustin,2018-19,81.0,28.0,15.7,0.5,1.4,good
447,Deandre Ayton,2018-19,71.0,30.7,20.5,0.2,1.2,good
448,Marvin Bagley III,2018-19,62.0,25.3,18.9,-1.0,0.4,good
449,Lonzo Ball,2018-19,47.0,30.3,11.7,-0.3,0.6,good
450,Harrison Barnes,2018-19,77.0,32.9,12.8,-1.4,0.4,good
451,Nicolas Batum,2018-19,75.0,31.4,11.9,-0.3,1.0,good
452,Malik Beasley,2018-19,81.0,23.2,14.2,0.1,1.0,good
453,Dāvis Bertāns,2018-19,76.0,21.5,13.0,1.3,1.4,good
454,Patrick Beverley,2018-19,78.0,27.4,11.8,0.9,1.5,good
455,Nemanja Bjelica,2018-19,77.0,23.2,15.4,0.9,1.3,good
456,Eric Bledsoe,2018-19,78.0,29.1,19.3,3.1,2.9,good
457,Bogdan Bogdanović,2018-19,70.0,27.8,14.1,-0.6,0.7,good
458,Bojan Bogdanović,2018-19,81.0,31.8,16.1,0.7,1.7,good
459,Devin Booker,2018-19,64.0,35.0,20.2,1.0,1.7,good
460,Malcolm Brogdon,2018-19,64.0,28.6,17.8,2.2,1.9,good
461,Thomas Bryant,2018-19,72.0,20.8,21.0,2.0,1.5,good
462,Trey Burke,2018-19,58.0,19.4,16.5,0.1,0.6,good
463,Kentavious Caldwell-Pope,2018-19,82.0,24.8,12.9,-0.5,0.8,good
464,Willie Cauley-Stein,2018-19,81.0,27.3,18.0,1.2,1.8,good
465,Jordan Clarkson,2018-19,81.0,27.3,16.8,-0.5,0.8,good
466,John Collins,2018-19,61.0,30.0,21.8,0.9,1.3,good
467,Darren Collison,2018-19,76.0,28.2,16.7,1.8,2.1,good
468,Pat Connaughton,2018-19,61.0,20.7,13.6,1.2,1.0,good
469,DeMarcus Cousins,2018-19,30.0,25.7,21.4,3.0,1.0,good
470,Robert Covington,2018-19,35.0,34.4,13.3,1.6,1.1,good
471,Jae Crowder,2018-19,80.0,27.1,12.1,0.3,1.2,good
472,Ed Davis,2018-19,81.0,17.9,17.3,0.0,0.7,good
473,Dewayne Dedmon,2018-19,64.0,25.1,16.0,0.5,1.0,good
474,DeMar DeRozan,2018-19,77.0,34.9,19.6,1.1,2.2,good
475,Gorgui Dieng,2018-19,76.0,13.6,18.1,0.6,0.7,good
476,Spencer Dinwiddie,2018-19,68.0,28.1,16.3,0.6,1.3,good
477,Derrick Favors,2018-19,76.0,23.2,21.8,3.3,2.4,good
478,De'Aaron Fox,2018-19,81.0,31.4,18.1,1.5,2.3,good
479,Enes Freedom,2018-19,67.0,24.5,22.3,1.0,1.2,good
480,Marc Gasol,2018-19,79.0,30.8,16.7,3.1,3.1,good
481,Rudy Gay,2018-19,69.0,26.7,17.5,1.4,1.6,good
482,Taj Gibson,2018-19,70.0,24.1,17.8,-0.1,0.8,good
483,Shai Gilgeous-Alexander,2018-19,82.0,26.5,13.4,-0.5,0.8,good
484,Aaron Gordon,2018-19,78.0,33.8,15.1,0.6,1.7,good
485,Jerami Grant,2018-19,80.0,32.7,13.8,0.2,1.5,good
486,Danny Green,2018-19,80.0,27.7,13.0,2.0,2.2,good
487,Draymond Green,2018-19,66.0,31.3,12.9,1.4,1.8,good
488,Maurice Harkless,2018-19,60.0,23.6,13.2,0.7,1.0,good
489,Joe Harris,2018-19,76.0,30.2,13.5,0.5,1.4,good
490,Tobias Harris,2018-19,82.0,34.7,17.2,1.6,2.6,good
491,Gordon Hayward,2018-19,72.0,25.9,15.6,0.8,1.3,good
492,Buddy Hield,2018-19,82.0,31.9,17.5,2.1,2.7,good
493,Richaun Holmes,2018-19,70.0,16.9,20.7,0.6,0.8,good
494,Serge Ibaka,2018-19,74.0,27.2,18.7,0.2,1.2,good
495,Andre Iguodala,2018-19,68.0,23.2,13.1,1.8,1.5,good
496,Joe Ingles,2018-19,82.0,31.3,13.4,1.4,2.2,good
497,Jonathan Isaac,2018-19,75.0,26.6,13.0,-0.4,0.8,good
498,Jaren Jackson Jr.,2018-19,58.0,26.1,16.4,-0.3,0.7,good
499,Reggie Jackson,2018-19,82.0,27.9,15.2,0.4,1.4,good
500,DeAndre Jordan,2018-19,69.0,29.7,19.0,2.1,2.1,good
501,Maxi Kleber,2018-19,71.0,21.2,13.1,0.4,0.9,good
502,Kyle Kuzma,2018-19,70.0,33.1,14.0,-1.4,0.4,good
503,Jeremy Lamb,2018-19,79.0,28.5,17.3,1.2,1.8,good
504,Zach LaVine,2018-19,63.0,34.5,18.7,0.8,1.5,good
505,Alex Len,2018-19,77.0,20.1,17.2,-1.2,0.3,good
506,Meyers Leonard,2018-19,61.0,14.4,15.8,1.8,0.8,good
507,Caris LeVert,2018-19,40.0,26.6,14.9,0.2,0.6,good
508,Kevon Looney,2018-19,80.0,18.5,17.3,0.5,0.9,good
509,Brook Lopez,2018-19,81.0,28.7,14.6,2.2,2.4,good
510,Kyle Lowry,2018-19,65.0,34.0,16.5,2.3,2.4,good
511,Boban Marjanović,2018-19,58.0,11.7,24.2,3.2,0.9,good
512,Lauri Markkanen,2018-19,52.0,32.3,17.1,-0.2,0.7,good
513,CJ McCollum,2018-19,70.0,33.9,17.0,1.0,1.8,good
514,JaVale McGee,2018-19,75.0,22.3,21.8,1.4,1.4,good
515,Khris Middleton,2018-19,77.0,31.1,16.5,0.8,1.7,good
516,Patty Mills,2018-19,82.0,23.3,13.2,-0.3,0.8,good
517,Paul Millsap,2018-19,70.0,27.1,17.9,1.7,1.8,good
518,Nikola Mirotić,2018-19,46.0,27.1,17.2,1.5,1.1,good
519,Donovan Mitchell,2018-19,77.0,33.7,17.2,1.3,2.2,good
520,Marcus Morris,2018-19,75.0,27.9,14.2,-0.9,0.6,good
521,Monte Morris,2018-19,82.0,24.0,16.2,1.5,1.7,good
522,Jamal Murray,2018-19,75.0,32.6,16.0,0.6,1.6,good
523,Larry Nance Jr.,2018-19,67.0,26.8,18.6,2.4,2.0,good
524,Shabazz Napier,2018-19,56.0,17.6,15.3,1.5,0.9,good
525,Nerlens Noel,2018-19,77.0,13.7,19.3,2.1,1.1,good
526,Victor Oladipo,2018-19,36.0,31.9,17.6,2.9,1.4,good
527,Kelly Olynyk,2018-19,79.0,22.9,14.4,0.7,1.2,good
528,Kelly Oubre Jr.,2018-19,69.0,28.0,15.2,-1.2,0.4,good
529,Mason Plumlee,2018-19,82.0,21.1,17.8,2.1,1.8,good
530,Jakob Poeltl,2018-19,77.0,16.5,19.4,2.0,1.3,good
531,Otto Porter Jr.,2018-19,56.0,30.1,15.9,0.9,1.2,good
532,Dwight Powell,2018-19,77.0,21.6,20.4,2.9,2.1,good
533,Julius Randle,2018-19,73.0,30.6,21.0,1.5,2.0,good
534,J.J. Redick,2018-19,76.0,31.3,15.1,0.2,1.3,good
535,Josh Richardson,2018-19,73.0,34.8,14.0,0.3,1.5,good
536,Mitchell Robinson,2018-19,66.0,20.6,22.0,2.5,1.6,good
537,Derrick Rose,2018-19,51.0,27.3,19.5,1.4,1.2,good
538,Terrence Ross,2018-19,81.0,26.5,15.4,0.8,1.5,good
539,Terry Rozier,2018-19,79.0,22.7,12.9,-0.2,0.8,good
540,Ricky Rubio,2018-19,68.0,27.9,14.0,-0.2,0.9,good
541,Domantas Sabonis,2018-19,74.0,24.8,21.9,3.1,2.4,good
542,Tomáš Satoranský,2018-19,80.0,27.1,14.1,-0.7,0.7,good
543,Pascal Siakam,2018-19,80.0,31.9,18.7,2.4,2.8,good
544,Marcus Smart,2018-19,80.0,27.5,13.1,0.8,1.5,good
545,Jayson Tatum,2018-19,79.0,31.1,15.1,-0.2,1.1,good
546,Jeff Teague,2018-19,42.0,30.1,15.4,-0.4,0.5,good
547,Klay Thompson,2018-19,78.0,34.0,16.6,-0.3,1.2,good
548,Tristan Thompson,2018-19,43.0,27.9,18.4,-0.5,0.4,good
549,P.J. Tucker,2018-19,82.0,34.2,9.2,-0.6,1.0,good
550,Myles Turner,2018-19,74.0,28.6,18.0,2.5,2.4,good
551,Jonas Valančiūnas,2018-19,49.0,22.3,24.4,2.7,1.3,good
552,Fred VanVleet,2018-19,64.0,27.5,13.7,0.5,1.1,good
553,Noah Vonleh,2018-19,68.0,25.3,13.9,-0.7,0.6,good
554,Dwyane Wade,2018-19,72.0,26.2,15.8,0.6,1.2,good
555,John Wall,2018-19,32.0,34.5,18.0,0.9,0.8,good
556,T.J. Warren,2018-19,43.0,31.6,16.3,-0.2,0.6,good
557,Derrick White,2018-19,67.0,25.8,14.8,0.9,1.3,good
558,Hassan Whiteside,2018-19,72.0,23.3,23.5,2.3,1.8,good
559,Lou Williams,2018-19,75.0,26.6,21.2,2.2,2.1,good
560,Marvin Williams,2018-19,75.0,28.4,12.6,-0.3,0.9,good
561,Justise Winslow,2018-19,66.0,29.7,12.8,-0.6,0.7,good
562,Delon Wright,2018-19,75.0,22.7,15.5,1.5,1.5,good
563,Thaddeus Young,2018-19,81.0,30.7,16.2,1.5,2.2,good
564,Trae Young,2018-19,81.0,30.9,17.0,-0.6,0.9,good
565,Cody Zeller,2018-19,49.0,25.4,17.2,0.1,0.7,good
566,Ivica Zubac,2018-19,59.0,17.6,18.9,-0.5,0.4,good
567,Steven Adams,2019-20,63.0,26.7,20.5,2.9,2.1,good
568,LaMarcus Aldridge,2019-20,53.0,33.1,19.7,1.4,1.5,good
569,Jarrett Allen,2019-20,70.0,26.5,20.7,2.3,2.0,good
570,Kyle Anderson,2019-20,67.0,19.9,12.5,0.5,0.9,good
571,OG Anunoby,2019-20,69.0,29.9,13.2,1.2,1.7,good
572,Deandre Ayton,2019-20,38.0,32.5,20.0,0.4,0.7,good
573,Lonzo Ball,2019-20,63.0,32.1,13.1,0.6,1.3,good
574,Harrison Barnes,2019-20,72.0,34.5,13.3,-1.3,0.5,good
575,Will Barton,2019-20,58.0,33.0,15.6,1.1,1.5,good
576,Dāvis Bertāns,2019-20,54.0,29.3,15.5,0.9,1.1,good
577,Patrick Beverley,2019-20,51.0,26.3,12.5,2.2,1.4,good
578,Nemanja Bjelica,2019-20,72.0,27.9,15.7,1.8,1.9,good
579,Eric Bledsoe,2019-20,61.0,27.0,17.6,1.8,1.6,good
580,Bogdan Bogdanović,2019-20,61.0,29.0,15.1,0.6,1.2,good
581,Bojan Bogdanović,2019-20,63.0,33.1,15.6,0.1,1.1,good
582,Chris Boucher,2019-20,62.0,13.2,20.7,2.0,0.8,good
583,Mikal Bridges,2019-20,73.0,28.0,12.9,0.8,1.5,good
584,Malcolm Brogdon,2019-20,54.0,30.9,17.7,1.8,1.6,good
585,Jaylen Brown,2019-20,57.0,33.9,16.9,0.8,1.4,good
586,Thomas Bryant,2019-20,46.0,24.9,21.1,2.2,1.2,good
587,Alec Burks,2019-20,66.0,26.6,16.7,0.5,1.1,good
588,Clint Capela,2019-20,39.0,32.8,20.6,1.4,1.1,good
589,Willie Cauley-Stein,2019-20,54.0,20.3,17.0,0.5,0.7,good
590,Marquese Chriss,2019-20,59.0,20.3,19.5,0.6,0.8,good
591,Brandon Clarke,2019-20,58.0,22.4,20.9,3.1,1.7,good
592,Jordan Clarkson,2019-20,71.0,24.0,17.3,1.1,1.3,good
593,Mike Conley,2019-20,47.0,29.0,14.1,0.3,0.8,good
594,Robert Covington,2019-20,70.0,30.5,13.3,0.0,1.1,good
595,Jae Crowder,2019-20,65.0,28.8,12.5,-0.1,0.9,good
596,Seth Curry,2019-20,64.0,24.6,15.5,0.8,1.2,good
597,Terence Davis,2019-20,72.0,16.8,13.8,0.8,0.8,good
598,DeMar DeRozan,2019-20,68.0,34.1,21.6,1.9,2.3,good
599,Gorgui Dieng,2019-20,63.0,17.4,17.1,1.5,1.0,good
600,Spencer Dinwiddie,2019-20,64.0,31.2,17.8,1.8,1.9,good
601,Donte DiVincenzo,2019-20,66.0,23.0,14.1,1.3,1.3,good
602,Goran Dragić,2019-20,59.0,28.2,16.3,-0.1,0.8,good
603,Andre Drummond,2019-20,57.0,33.0,22.0,0.9,1.4,good
604,Derrick Favors,2019-20,51.0,24.4,18.5,1.0,0.9,good
605,Dorian Finney-Smith,2019-20,71.0,29.9,12.3,-0.2,0.9,good
606,Evan Fournier,2019-20,66.0,31.5,16.4,1.0,1.6,good
607,De'Aaron Fox,2019-20,51.0,32.0,20.6,1.8,1.6,good
608,Enes Freedom,2019-20,58.0,16.9,22.4,1.5,0.9,good
609,Danilo Gallinari,2019-20,62.0,29.6,19.5,3.3,2.4,good
610,Marc Gasol,2019-20,44.0,26.4,11.8,1.6,1.1,good
611,Shai Gilgeous-Alexander,2019-20,70.0,34.7,17.7,1.7,2.2,good
612,Aaron Gordon,2019-20,62.0,32.5,15.1,0.0,1.0,good
613,Devonte' Graham,2019-20,63.0,35.1,15.8,0.5,1.4,good
614,Jerami Grant,2019-20,71.0,26.6,14.4,-0.5,0.7,good
615,Danny Green,2019-20,68.0,24.8,10.8,0.5,1.1,good
616,Draymond Green,2019-20,43.0,28.4,12.5,-0.2,0.5,good
617,Tim Hardaway Jr.,2019-20,71.0,29.5,14.5,-0.1,1.0,good
618,Joe Harris,2019-20,69.0,30.8,13.3,-0.2,1.0,good
619,Tobias Harris,2019-20,72.0,34.3,17.2,0.8,1.8,good
620,Jaxson Hayes,2019-20,64.0,16.9,17.6,-0.3,0.5,good
621,Gordon Hayward,2019-20,52.0,33.5,18.1,2.7,2.0,good
622,Buddy Hield,2019-20,72.0,30.8,16.0,1.1,1.7,good
623,George Hill,2019-20,59.0,21.5,16.9,2.9,1.6,good
624,Jrue Holiday,2019-20,61.0,34.7,17.0,1.8,2.0,good
625,Justin Holiday,2019-20,73.0,25.0,12.1,1.3,1.5,good
626,Rondae Hollis-Jefferson,2019-20,60.0,18.7,15.1,0.3,0.6,good
627,Richaun Holmes,2019-20,44.0,28.2,19.7,1.0,0.9,good
628,Al Horford,2019-20,67.0,30.2,15.7,2.2,2.2,good
629,Danuel House Jr.,2019-20,63.0,30.4,11.3,-0.7,0.6,good
630,Dwight Howard,2019-20,69.0,18.9,18.7,0.2,0.7,good
631,Serge Ibaka,2019-20,55.0,27.0,17.3,0.1,0.8,good
632,Joe Ingles,2019-20,72.0,29.7,12.6,0.7,1.5,good
633,Brandon Ingram,2019-20,62.0,33.9,18.8,2.1,2.2,good
634,Jonathan Isaac,2019-20,34.0,28.8,17.3,2.3,1.1,good
635,Jaren Jackson Jr.,2019-20,57.0,28.5,16.3,0.4,1.0,good
636,Derrick Jones Jr.,2019-20,59.0,23.3,14.9,0.7,1.0,good
637,Tyus Jones,2019-20,65.0,19.0,15.7,0.6,0.8,good
638,DeAndre Jordan,2019-20,56.0,22.0,19.9,3.0,1.5,good
639,Luke Kennard,2019-20,28.0,32.9,14.4,-0.3,0.4,good
640,Maxi Kleber,2019-20,74.0,25.5,13.6,0.4,1.1,good
641,Jeremy Lamb,2019-20,46.0,28.1,14.0,-0.4,0.5,good
642,Zach LaVine,2019-20,60.0,34.8,19.4,2.5,2.4,good
643,Caris LeVert,2019-20,45.0,29.6,16.1,-0.3,0.5,good
644,Brook Lopez,2019-20,68.0,26.7,15.0,2.0,1.9,good
645,Kevin Love,2019-20,56.0,31.8,17.9,2.0,1.8,good
646,Lauri Markkanen,2019-20,50.0,29.8,14.3,-0.6,0.5,good
647,CJ McCollum,2019-20,70.0,36.5,17.0,0.5,1.6,good
648,T.J. McConnell,2019-20,71.0,18.7,16.5,0.5,0.8,good
649,Doug McDermott,2019-20,69.0,19.9,14.4,0.0,0.7,good
650,JaVale McGee,2019-20,68.0,16.6,19.4,1.5,1.0,good
651,Patty Mills,2019-20,66.0,22.5,14.8,0.0,0.8,good
652,Paul Millsap,2019-20,51.0,24.3,16.9,0.1,0.7,good
653,Donovan Mitchell,2019-20,69.0,34.3,18.8,1.9,2.3,good
654,Ja Morant,2019-20,67.0,31.0,17.4,0.3,1.2,good
655,Marcus Morris,2019-20,62.0,31.2,14.3,-0.1,0.9,good
656,Monte Morris,2019-20,73.0,22.4,14.9,-0.2,0.7,good
657,Dejounte Murray,2019-20,66.0,25.6,16.2,0.4,1.0,good
658,Jamal Murray,2019-20,59.0,32.3,17.7,1.2,1.5,good
659,Larry Nance Jr.,2019-20,56.0,26.3,17.3,1.7,1.4,good
660,Nerlens Noel,2019-20,61.0,18.5,20.4,3.1,1.5,good
661,Royce O'Neale,2019-20,71.0,28.9,9.5,0.9,1.5,good
662,Kelly Olynyk,2019-20,67.0,19.4,14.6,1.0,1.0,good
663,Kelly Oubre Jr.,2019-20,56.0,34.5,14.9,-0.5,0.7,good
664,Jabari Parker,2019-20,38.0,24.1,18.0,0.3,0.5,good
665,Elfrid Payton,2019-20,45.0,27.7,16.0,0.0,0.6,good
666,Mason Plumlee,2019-20,61.0,17.3,18.8,2.0,1.1,good
667,Jakob Poeltl,2019-20,66.0,17.7,19.1,2.5,1.3,good
668,Michael Porter Jr.,2019-20,55.0,16.4,19.8,1.5,0.8,good
669,Kristaps Porziņģis,2019-20,57.0,31.8,20.2,1.9,1.8,good
670,Dwight Powell,2019-20,40.0,26.5,15.9,1.3,0.9,good
671,Norman Powell,2019-20,52.0,28.4,16.8,2.0,1.5,good
672,Julius Randle,2019-20,64.0,32.5,17.5,-0.3,0.9,good
673,J.J. Redick,2019-20,60.0,26.4,15.4,0.7,1.1,good
674,Duncan Robinson,2019-20,73.0,29.7,13.1,0.5,1.3,good
675,Mitchell Robinson,2019-20,61.0,23.1,23.5,2.9,1.8,good
676,Derrick Rose,2019-20,50.0,26.0,21.0,2.2,1.4,good
677,Terrence Ross,2019-20,69.0,27.4,14.0,-0.4,0.8,good
678,Terry Rozier,2019-20,63.0,34.3,14.8,-0.4,0.8,good
679,Ricky Rubio,2019-20,65.0,31.0,16.5,1.0,1.5,good
680,D'Angelo Russell,2019-20,45.0,32.3,18.7,1.9,1.4,good
681,Dario Šarić,2019-20,66.0,24.7,14.2,-0.4,0.7,good
682,Tomáš Satoranský,2019-20,65.0,28.9,13.5,-1.2,0.4,good
683,Dennis Schröder,2019-20,65.0,30.8,16.7,-0.1,1.0,good
684,Collin Sexton,2019-20,65.0,33.0,16.3,-1.8,0.1,good
685,Pascal Siakam,2019-20,60.0,35.2,17.9,1.8,2.0,good
686,Marcus Smart,2019-20,60.0,32.0,13.8,1.4,1.6,good
687,Daniel Theis,2019-20,65.0,24.1,17.9,2.4,1.7,good
688,Tristan Thompson,2019-20,57.0,30.2,16.8,-1.5,0.2,good
689,Myles Turner,2019-20,62.0,29.5,14.8,0.1,1.0,good
690,Jonas Valančiūnas,2019-20,70.0,26.4,22.2,2.4,2.0,good
691,Fred VanVleet,2019-20,54.0,35.7,16.3,2.7,2.3,good
692,T.J. Warren,2019-20,67.0,32.9,18.4,1.1,1.7,good
693,Russell Westbrook,2019-20,57.0,35.9,21.0,1.5,1.8,good
694,Derrick White,2019-20,68.0,24.7,16.4,1.3,1.4,good
695,Andrew Wiggins,2019-20,54.0,34.4,16.4,-0.3,0.8,good
696,Lou Williams,2019-20,65.0,28.7,17.3,0.7,1.3,good
697,Zion Williamson,2019-20,24.0,27.8,24.1,2.1,0.7,good
698,Christian Wood,2019-20,62.0,21.4,23.2,3.1,1.7,good
699,Delon Wright,2019-20,73.0,21.5,15.4,1.9,1.5,good
700,Cody Zeller,2019-20,58.0,23.1,18.8,-0.6,0.5,good
701,Ivica Zubac,2019-20,72.0,18.4,21.7,2.8,1.6,good
702,Steven Adams,2020-21,58.0,27.7,15.1,-0.3,0.7,good
703,Jarrett Allen,2020-21,63.0,29.6,20.1,1.1,1.4,good
704,Kyle Anderson,2020-21,69.0,27.3,17.2,3.3,2.5,good
705,OG Anunoby,2020-21,43.0,33.3,15.4,1.2,1.2,good
706,Deandre Ayton,2020-21,69.0,30.7,20.3,1.2,1.7,good
707,LaMelo Ball,2020-21,51.0,28.8,17.5,1.8,1.4,good
708,Lonzo Ball,2020-21,55.0,31.8,15.2,1.7,1.6,good
709,Harrison Barnes,2020-21,58.0,36.2,15.4,0.2,1.1,good
710,RJ Barrett,2020-21,72.0,34.9,13.4,-1.2,0.5,good
711,Nicolas Batum,2020-21,67.0,27.4,12.9,2.1,1.9,good
712,Malik Beasley,2020-21,37.0,32.8,14.6,-0.2,0.6,good
713,Saddiq Bey,2020-21,70.0,27.3,12.6,-0.5,0.7,good
714,Bogdan Bogdanović,2020-21,44.0,29.7,17.6,3.6,1.8,good
715,Bojan Bogdanović,2020-21,72.0,30.8,14.0,-0.4,0.9,good
716,Devin Booker,2020-21,67.0,33.9,19.2,0.3,1.3,good
717,Chris Boucher,2020-21,60.0,24.2,21.9,3.3,2.0,good
718,Mikal Bridges,2020-21,72.0,32.6,16.4,3.3,3.1,good
719,Miles Bridges,2020-21,66.0,29.3,14.7,0.2,1.1,good
720,Malcolm Brogdon,2020-21,56.0,34.5,17.9,2.1,2.0,good
721,Bruce Brown,2020-21,65.0,22.3,16.1,-0.1,0.7,good
722,Jaylen Brown,2020-21,58.0,34.5,19.9,2.5,2.3,good
723,Jalen Brunson,2020-21,68.0,25.0,17.1,0.9,1.2,good
724,Reggie Bullock,2020-21,65.0,30.0,11.1,-0.1,0.9,good
725,Alec Burks,2020-21,49.0,25.6,14.8,1.5,1.1,good
726,Wendell Carter Jr.,2020-21,54.0,25.5,16.7,-1.3,0.2,good
727,Brandon Clarke,2020-21,59.0,24.0,17.3,1.5,1.3,good
728,Jordan Clarkson,2020-21,68.0,26.7,17.1,1.4,1.6,good
729,John Collins,2020-21,63.0,29.3,20.6,2.3,2.0,good
730,Robert Covington,2020-21,70.0,32.0,11.2,0.2,1.2,good
731,Jae Crowder,2020-21,60.0,27.5,11.8,1.1,1.3,good
732,Seth Curry,2020-21,57.0,28.7,12.9,-0.3,0.7,good
733,Donte DiVincenzo,2020-21,66.0,27.5,13.0,0.3,1.0,good
734,Andre Drummond,2020-21,46.0,27.0,19.4,-1.2,0.3,good
735,Derrick Favors,2020-21,68.0,15.3,19.7,2.6,1.2,good
736,Dorian Finney-Smith,2020-21,60.0,32.0,12.0,0.1,1.0,good
737,Evan Fournier,2020-21,42.0,30.0,16.7,1.1,1.0,good
738,De'Aaron Fox,2020-21,58.0,35.1,20.7,1.8,2.0,good
739,Enes Freedom,2020-21,72.0,24.4,22.4,0.6,1.2,good
740,Daniel Gafford,2020-21,54.0,14.6,22.2,2.2,0.8,good
741,Danilo Gallinari,2020-21,51.0,24.0,16.3,1.1,1.0,good
742,Marc Gasol,2020-21,52.0,19.1,12.2,2.3,1.1,good
743,Rudy Gay,2020-21,63.0,21.6,14.7,-0.1,0.6,good
744,Taj Gibson,2020-21,45.0,20.8,16.0,1.3,0.8,good
745,Aaron Gordon,2020-21,50.0,27.7,14.5,0.1,0.7,good
746,Devonte' Graham,2020-21,55.0,30.2,14.6,0.7,1.1,good
747,Jerami Grant,2020-21,54.0,33.9,16.9,1.1,1.4,good
748,Danny Green,2020-21,69.0,28.0,12.1,1.9,1.9,good
749,Draymond Green,2020-21,63.0,31.5,13.3,1.7,1.9,good
750,Jeff Green,2020-21,68.0,27.0,13.0,-0.8,0.6,good
751,Tyrese Haliburton,2020-21,58.0,30.1,16.2,1.4,1.5,good
752,Tim Hardaway Jr.,2020-21,70.0,28.4,15.7,0.4,1.2,good
753,Montrezl Harrell,2020-21,69.0,22.9,22.7,3.0,2.0,good
754,Joe Harris,2020-21,69.0,31.0,14.1,0.4,1.3,good
755,Jaxson Hayes,2020-21,60.0,16.1,19.1,0.6,0.6,good
756,Gordon Hayward,2020-21,44.0,34.0,17.6,1.6,1.4,good
757,Buddy Hield,2020-21,71.0,34.3,12.8,-0.6,0.9,good
758,Richaun Holmes,2020-21,61.0,29.2,20.2,0.6,1.2,good
759,Al Horford,2020-21,28.0,27.9,17.4,3.4,1.1,good
760,Kevin Huerter,2020-21,69.0,30.8,12.2,-0.3,1.0,good
761,Serge Ibaka,2020-21,41.0,23.3,18.2,1.4,0.8,good
762,Joe Ingles,2020-21,67.0,27.9,15.9,3.5,2.6,good
763,Brandon Ingram,2020-21,61.0,34.3,19.2,2.2,2.2,good
764,Reggie Jackson,2020-21,67.0,23.0,14.2,0.4,0.9,good
765,Tyus Jones,2020-21,70.0,17.5,15.0,0.8,0.9,good
766,DeAndre Jordan,2020-21,57.0,21.9,17.1,1.0,0.9,good
767,Kyle Kuzma,2020-21,68.0,28.7,12.7,-0.4,0.8,good
768,Caris LeVert,2020-21,47.0,31.6,17.8,0.4,0.9,good
769,Brook Lopez,2020-21,70.0,27.2,15.4,0.0,0.9,good
770,Kyle Lowry,2020-21,46.0,34.8,16.5,1.6,1.5,good
771,Lauri Markkanen,2020-21,51.0,25.8,15.2,0.1,0.7,good
772,T.J. McConnell,2020-21,69.0,26.0,16.9,1.4,1.5,good
773,Doug McDermott,2020-21,66.0,24.5,15.6,-0.6,0.6,good
774,De'Anthony Melton,2020-21,52.0,20.1,15.2,2.3,1.1,good
